family,worlds,flag_rate,median_wealth_delta,mean_wealth_delta,pct_better_wealth,median_dd_delta,mean_dd_delta,pct_better_dd,median_transitions
clean_v,500,0.004,0.0,-0.00016172058788435216,0.0,0.0,3.729382030443018e-05,0.004,1.0
double_dip,500,0.952,0.007530659111565585,0.01623499410658858,0.55,0.05068482039702532,0.05131288495000669,0.934,3.0
explosive_rebound,500,0.922,-0.021548795821385414,-0.024213566156157842,0.2,1.1102230246251565e-16,0.007098251159423686,0.592,3.0
fragile_recovery,500,0.956,0.005771665014234428,0.008489566190359784,0.552,0.04943127100653938,0.04896563524241078,0.91,2.5
slow_bear,500,0.952,0.035424703641221855,0.03862698564438977,0.744,0.06106443087738728,0.06230376671344225,0.952,1.0
whipsaw,500,0.946,0.02773371286449622,0.03846168201476667,0.612,0.09948427567997253,0.09782438203241481,0.944,1.0
