test,plus1_cagr,zero_cagr,cagr_change_zero_minus_plus1,plus1_max_dd,zero_max_dd,dd_change_zero_minus_plus1,plus1_transitions,zero_transitions
delay_0,0.2225174846670947,0.2225174846670947,0.0,-0.2194904567027733,-0.2194904567027733,0.0,20,20
delay_1,0.222048957495446,0.222048957495446,0.0,-0.2196582297958055,-0.2196582297958055,0.0,20,20
delay_2,0.2173335626727204,0.2210102662968684,0.0036767036241480144,-0.2194904567027733,-0.2194904567027732,1.1102230246251565e-16,24,22
cost_20bps,0.2223340048384081,0.2223340048384081,0.0,-0.2199820220530254,-0.2199820220530254,0.0,20,20
cost_30bps,0.2221504726489358,0.2221504726489358,0.0,-0.220762498612171,-0.220762498612171,0.0,20,20
cost_50bps,0.2217832510055255,0.2217832510055255,0.0,-0.2223221278546528,-0.2223221278546528,0.0,20,20
