start,end,canonical_cagr,candidate_cagr,cagr_delta,canonical_dd,candidate_dd,dd_delta,canonical_mult,candidate_mult,wealth_delta
2007-01-03,2011-12-30,0.20332427553068144,0.20369360243157875,0.00036932690089730436,-0.23925591713899674,-0.21248423168838804,0.026771685450608707,2.5175975216280984,2.5214545022096915,0.0015320084121701605
2008-01-02,2012-12-31,0.15523429817102974,0.1555882822524135,0.00035398408138376247,-0.23925591713899663,-0.21248423168838804,0.026771685450608596,2.0565644539508012,2.0597151279944232,0.0015320084121697164
2009-01-02,2013-12-31,0.20928014921940497,0.20965089707953344,0.00037074786012847305,-0.23925591713899663,-0.1982416338840114,0.04101428325498524,2.583061238635081,2.587018510181822,0.0015320084121708266
2010-01-04,2014-12-31,0.22071106219227365,0.2210857254835059,0.00037466329123225783,-0.23925591713899674,-0.1982416338840115,0.04101428325498524,2.704365937244859,2.7085090486103005,0.0015320084121686062
2011-01-03,2015-12-31,0.13297509812074426,0.13528447690642387,0.0023093787856796055,-0.23925591713899663,-0.1982416338840114,0.04101428325498524,1.864768506841818,1.8838174844216298,0.010215196958722306
2012-01-03,2016-12-30,0.13165805773518402,0.14039868433670644,0.008740626601522417,-0.22990205596333335,-0.1685040976931902,0.06139795827014316,1.853974031622227,1.9265562522741744,0.03914953468276883
2013-01-02,2017-12-29,0.17964447262571137,0.1887607535298752,0.009116280904163832,-0.22990205596333324,-0.16850409769319008,0.06139795827014316,2.2799648341362193,2.369224396485728,0.039149534682768605
2014-01-02,2018-12-31,0.10849904092326668,0.11705608140896095,0.008557040485694278,-0.22990205596333324,-0.1685040976931902,0.06139795827014305,1.6726520954495918,1.7381356466725968,0.03914953468276594
2015-01-02,2019-12-31,0.10933150755158527,0.11789497425000417,0.008563466698418898,-0.22990205596333335,-0.1685040976931902,0.06139795827014316,1.6789345877735145,1.7446640956476496,0.039149534682766385
2016-01-04,2020-12-31,0.24935952935370675,0.2542296487885245,0.0048701194348177435,-0.1449407835436365,-0.14494078354363626,2.220446049250313e-16,3.037992879162694,3.0975622027880245,0.019608118252649964
2017-01-03,2021-12-31,0.2924169519942612,0.2924169519942612,0.0,-0.21946416128946455,-0.21946416128946467,-1.1102230246251565e-16,3.597769900932984,3.597769900932984,0.0
2018-01-02,2022-12-30,0.19271415170999906,0.1883427505817039,-0.004371401128295149,-0.23232960338278774,-0.21949045670277323,0.012839146680014513,2.4099536143231433,2.366189123735005,-0.018159889189581002
2019-01-02,2023-12-29,0.26454668054440944,0.2599094678898477,-0.00463721265456174,-0.23232960338278763,-0.21949045670277323,0.012839146680014402,3.224769447173359,3.166207991350744,-0.018159889189581113
2020-01-02,2024-12-31,0.3077472959759544,0.3029595313506208,-0.00478776462533359,-0.23232960338278774,-0.21949045670277323,0.012839146680014513,3.821486484678097,3.7520887135768644,-0.018159889189580225
2021-01-04,2025-12-31,0.20278037264349003,0.19836966290023272,-0.004410709743257302,-0.23232960338278763,-0.21949045670277323,0.012839146680014402,2.511925987056552,2.4663096894791736,-0.01815988918958189
