window_years,strategy,start,end,sessions,cagr,sharpe,max_drawdown,ending_multiple
5,A_current,2021-07-30,2026-07-31,1256,0.2774016466111806,1.3238888920099317,-0.20868899009684494,3.4030365299190803
5,B_dynamic_confirmation_only,2021-07-30,2026-07-31,1256,0.2930092354558975,1.38173970880687,-0.2168511866407139,3.616169333592829
5,C_provisional_only,2021-07-30,2026-07-31,1256,0.29874450184465107,1.3909288778213802,-0.20868899009684516,3.697118567676646
5,D_narrow_combined,2021-07-30,2026-07-31,1256,0.2989190179039971,1.40322012068837,-0.20868899009684527,3.699604269740515
5,SPY,2021-07-30,2026-07-31,1256,0.1275588366954017,0.7878285340192306,-0.2449730210824942,1.823091565794611
10,A_current,2016-07-29,2026-07-31,2515,0.2722739563872838,1.3188645943064297,-0.21695821510142832,11.12390689012161
10,B_dynamic_confirmation_only,2016-07-29,2026-07-31,2515,0.2800228276426304,1.348198513195229,-0.21695821510142832,11.82059922429227
10,C_provisional_only,2016-07-29,2026-07-31,2515,0.264532237521788,1.2694510138109336,-0.2779787899375973,10.464984710383805
10,D_narrow_combined,2016-07-29,2026-07-31,2515,0.28294470640488245,1.3591073565079095,-0.21695821510142832,12.093332841145918
10,SPY,2016-07-29,2026-07-31,2515,0.1498307955898699,0.8704054911994923,-0.33700067485140295,4.042042042042042
15,A_current,2011-07-29,2026-07-31,3773,0.22732721172660875,1.2382583659218964,-0.21695821510142832,21.62623272786172
15,B_dynamic_confirmation_only,2011-07-29,2026-07-31,3773,0.23230558009715763,1.2598426515924732,-0.21695821510142832,22.9806876605861
15,C_provisional_only,2011-07-29,2026-07-31,3773,0.21579815296853777,1.163043028181093,-0.2779787899375973,18.770295036715403
15,D_narrow_combined,2011-07-29,2026-07-31,3773,0.23418017116469092,1.2678684421583786,-0.21695821510142832,23.51091510037412
15,SPY,2011-07-29,2026-07-31,3773,0.1439725500473199,0.8709781691056413,-0.33700067485140295,7.526826466765413
20,A_current,2006-07-31,2026-07-31,5032,0.22630215620600636,1.2138138710255413,-0.21695821510142832,59.154286909676216
20,B_dynamic_confirmation_only,2006-07-31,2026-07-31,5032,0.2300324593287708,1.229743675845238,-0.21695821510142832,62.85913077706791
20,C_provisional_only,2006-07-31,2026-07-31,5032,0.21436451176982496,1.1394858332989062,-0.2779787899375973,48.64251055925739
20,D_narrow_combined,2006-07-31,2026-07-31,5032,0.23132717803270864,1.2357302298847328,-0.21695821510142832,64.19577155147778
20,SPY,2006-07-31,2026-07-31,5032,0.11256316445674552,0.6473414847918654,-0.55201855645911,8.44330665943307
