window_years,strategy,cagr_delta_pp,sharpe_delta,max_dd_delta_pp
5,B_dynamic_confirmation_only,1.5607588844716913,0.057850816796938265,-0.816219654386896
5,C_provisional_only,2.134285523347046,0.06703998581144854,-2.220446049250313e-14
5,D_narrow_combined,2.15173712928165,0.07933122867843845,-3.3306690738754696e-14
10,B_dynamic_confirmation_only,0.7748871255346623,0.029333918888799326,0.0
10,C_provisional_only,-0.7741718865495795,-0.049413580495496046,-6.102057483616896
10,D_narrow_combined,1.0670750017598651,0.04024276220147982,0.0
15,B_dynamic_confirmation_only,0.497836837054888,0.021584285670576797,0.0
15,C_provisional_only,-1.1529058758070976,-0.07521533774080336,-6.102057483616896
15,D_narrow_combined,0.6852959438082173,0.029610076236482152,0.0
20,B_dynamic_confirmation_only,0.37303031227644556,0.015929804819696747,0.0
20,C_provisional_only,-1.1937644436181394,-0.0743280377266351,-6.102057483616896
20,D_narrow_combined,0.5025021826702281,0.02191635885919152,0.0
