date,damaged_A,damaged_B,fast_A,fast_B
2008-07-08,1.0,0.9523809523809524,True,False
2010-05-07,0.88,0.8,True,False
2018-10-11,0.8571428571428571,0.8095238095238095,True,False
2021-12-03,0.8,0.85,False,True
2025-04-07,0.9166666666666666,0.8333333333333334,True,False
