window_years,variant,start,end,cagr,sharpe,max_drawdown,multiple
5,Current Sharadar sectors,2021-07-30,2026-07-31,0.2774016466111806,1.3238888920099297,-0.20868899009684494,3.4030365299190803
5,Best-effort PIT,2021-07-30,2026-07-31,0.28891724722116474,1.3568210777969358,-0.2168511866407138,3.5592855535194596
5,SPY,2021-07-30,2026-07-31,0.1275588366954017,0.7878285340192271,-0.2449730210824944,1.8230915657946114
10,Current Sharadar sectors,2016-07-29,2026-07-31,0.2722739563872838,1.3188645943064283,-0.21695821510142832,11.123906890121612
10,Best-effort PIT,2016-07-29,2026-07-31,0.2587581699484134,1.247802321608589,-0.27684177532317733,9.996638677229486
10,SPY,2016-07-29,2026-07-31,0.1498307955898699,0.8704054911994906,-0.33700067485140295,4.042042042042042
15,Current Sharadar sectors,2011-07-29,2026-07-31,0.2273272117266092,1.2382583659218966,-0.21695821510142832,21.626232727861783
15,Best-effort PIT,2011-07-29,2026-07-31,0.21408020724524968,1.1701215577038562,-0.27684177532317733,18.376196359346665
15,SPY,2011-07-29,2026-07-31,0.1439725500473199,0.8709781691056423,-0.33700067485140295,7.526826466765408
20,Current Sharadar sectors,2006-07-31,2026-07-31,0.22630215620600636,1.2138138710255404,-0.21695821510142832,59.15428690967622
20,Best-effort PIT,2006-07-31,2026-07-31,0.21635768122474452,1.1637897734595692,-0.27684177532317733,50.26445453668326
20,SPY,2006-07-31,2026-07-31,0.11256316445674552,0.6473414847918655,-0.55201855645911,8.443306659433066
