block,start,end,canonical_cagr,candidate_cagr,cagr_delta,canonical_dd,candidate_dd,dd_delta,wealth_delta
2006_2016,2006-07-31,2016-07-29,0.17726000728312008,0.18197245529745665,0.004712448014336568,-0.23925591713899663,-0.21248423168838804,0.026771685450608596,0.04074152051140678
2016_2026,2016-08-01,2026-07-31,0.2667921023454092,0.2644716989289091,-0.002320403416500083,-0.23232960338278763,-0.21949045670277334,0.01283914668001429,-0.01815988918958289
pre_2011,2006-07-31,2010-12-31,0.22828671575273463,0.2282867157527353,6.661338147750939e-16,-0.21248423168838837,-0.21248423168838804,3.3306690738754696e-16,2.4424906541753444e-15
2011_2020,2011-01-03,2020-12-31,0.18682654874337623,0.19157859479259876,0.004752046049222525,-0.23925591713899663,-0.1982416338840114,0.04101428325498524,0.04074152051140367
2021_2026,2021-01-04,2026-07-31,0.27595863643717355,0.2717664627530154,-0.00419217368415814,-0.23232960338278763,-0.21949045670277323,0.012839146680014402,-0.018159889189582445
