date,prior_canonical_alloc,canonical_alloc,prior_candidate_alloc,candidate_alloc,wealth_core_nav,damaged,green,r20,r40,healthy,canonical_nav,candidate_nav
2006-07-31,,1.0,,1.0,5.8954766700424575,0.6086956521739131,0.3478260869565217,-0.0499870372306699,-0.0203297993931501,False,1.0,1.0
2007-07-30,1.0,0.0,1.0,0.0,7.253490800971434,0.75,0.125,-0.0411579632174009,-0.0426922675405048,False,1.2031667965974284,1.2031667965974284
2007-09-18,0.0,1.0,0.0,1.0,7.124356854023325,0.4,0.52,0.0704000268253031,-0.0720777541259823,True,1.2399023782969432,1.2399023782969432
2008-07-03,1.0,0.0,1.0,0.0,8.205519112852459,1.0,0.0,-0.0805075371811084,-0.000459178449175,False,1.4375309779157184,1.4375309779157193
2008-12-24,0.0,1.0,0.0,1.0,6.201767786132321,0.3,0.6,0.0247998806584259,0.0189918072935142,True,1.4445850581377246,1.444585058137726
2011-08-08,1.0,0.0,1.0,0.0,10.688562291759528,1.0,0.0,-0.1617958938668717,-0.0904248571286163,False,2.586045545324015,2.586045545324025
2011-09-07,0.0,1.0,0.0,0.55,11.794856711132097,0.2352941176470588,0.6470588235294118,0.0431499586069645,-0.069878669766431,True,2.598058535456987,2.592146505192321
2011-11-09,1.0,1.0,0.55,0.65,11.276558905261272,0.3181818181818182,0.5454545454545454,0.0043403490326923,-0.0432816516011935,True,2.483892838371372,2.530839062768832
2011-12-12,1.0,1.0,0.65,1.0,11.829821335444173,0.3333333333333333,0.5833333333333334,0.0359508584699499,0.0438810075581161,True,2.605760209403333,2.6097522559642377
2015-08-25,1.0,0.0,1.0,0.0,21.10033372700561,1.0,0.0,-0.1018139244666577,-0.0554342781077009,False,4.794961184041579,4.8023071049115655
2015-10-29,0.0,1.0,0.0,0.55,21.276977641276904,0.4545454545454545,0.5,0.0309391321103358,-0.026125985493819,True,4.78752163421941,4.797264373023875
2016-03-17,1.0,1.0,0.55,0.65,19.70475210425043,0.125,0.625,0.0631951683122675,0.0453426087752868,True,4.433755986706388,4.608557880574749
2016-04-01,1.0,1.0,0.65,1.0,19.852026571983423,0.1739130434782608,0.6086956521739131,0.0413504830705484,0.0509094720827412,True,4.466894137825747,4.648882196964258
2018-10-11,1.0,0.0,1.0,0.0,28.28671766468792,0.8181818181818182,0.0454545454545454,-0.0883118448794145,-0.051942455623906,False,6.436111823996221,6.69832880588726
2019-01-28,0.0,1.0,0.0,1.0,25.525068621678003,0.5,0.4166666666666667,0.034141564435939,-0.0175997525996668,True,6.458745849090319,6.721884975578981
2020-02-28,1.0,0.0,1.0,0.0,29.3354078671456,1.0,0.0,-0.1006803512024367,-0.058662359729769,False,7.401833818416644,7.703395782751673
2020-04-22,0.0,1.0,0.0,1.0,25.579578963864613,0.1,0.8,0.0472086306964212,-0.1925410988252817,True,7.501442526052667,7.807062700592965
2022-05-18,1.0,0.0,1.0,0.0,51.22685434863666,0.9545454545454546,0.0454545454545454,-0.0825704479853856,-0.0901181182040911,False,15.506503081310663,16.138261594658083
2022-08-05,0.0,1.0,0.0,0.55,48.23738026013114,0.3478260869565217,0.6521739130434783,0.0225436766065745,-0.1407434126664535,True,15.831280841109248,16.33700878090119
2022-08-19,1.0,1.0,0.55,0.65,49.48102846947193,0.2727272727272727,0.6363636363636364,0.0490977114798414,0.0411806039585456,True,16.23944032164989,16.575526916860284
2022-11-01,1.0,1.0,0.65,1.0,49.75000138874344,0.2,0.65,0.0518501410702549,0.024048237300575,True,16.327715965987892,16.684342179867386
