cagr,max_dd,ending_multiple,days_le_m10,days_le_m20,days_le_m25,dd_1pct_tail,longest_underwater_sessions,name,transitions,first,second,confirm,delta_cagr,delta_dd
0.2222661135601407,-0.21949045670277312,55.379780025597675,1338,53,0,-0.20042245296302197,608,60-65-100_n10,20,0.6,0.65,10,0.0010686143697460349,0.019765460436223514
0.2218689229795472,-0.21949045670277323,55.02095469335593,1388,52,0,-0.2003371330618256,607,60-65-100_n12,20,0.6,0.65,12,0.0006714237891525254,0.019765460436223403
0.22251748466709476,-0.21949045670277334,55.60801829914156,1331,55,0,-0.20073582360660228,617,55-65-100_n10,20,0.55,0.65,10,0.0013199854767000918,0.019765460436223292
0.22286990870467815,-0.21949045670277356,55.929515061052335,1310,52,0,-0.2003371330618259,608,60-65-100_n9,20,0.6,0.65,9,0.0016724095142834905,0.01976546043622307
0.2221400544987251,-0.21949045670277356,55.265657081468184,1347,53,0,-0.20038112989745469,608,60-65-100_n11,20,0.6,0.65,11,0.0009425553083304283,0.01976546043622307
0.22273407973567783,-0.219490456702774,55.80539730986046,1310,55,0,-0.20068498336420584,608,55-65-100_n9,20,0.55,0.65,9,0.0015365805452831616,0.019765460436222626
0.22202088871427783,-0.21949045670277412,55.157980167347375,1384,53,0,-0.20046730854035322,608,55-65-100_n12,20,0.55,0.65,12,0.0008233895238831668,0.019765460436222515
0.22234638835507314,-0.21949045670277445,55.452570503615796,1339,54,0,-0.2008846620799071,617,55-65-100_n11,20,0.55,0.65,11,0.0011488891646784793,0.019765460436222182
0.22259729175249499,-0.2203338226369389,55.68066770499475,1316,56,0,-0.20110410257891456,608,50-65-100_n9,20,0.5,0.65,9,0.0013997925621003215,0.01892209450205773
0.22216924517307257,-0.22084583750785103,55.29206389208075,1382,54,0,-0.20067332219928427,608,50-65-100_n12,20,0.5,0.65,12,0.0009717459826779073,0.018410079631145604
0.22276595473595773,-0.22086594831382278,55.8345005175127,1319,57,0,-0.2011041025789144,617,50-65-100_n10,20,0.5,0.65,10,0.0015684555455630633,0.018389968825173852
0.22226188417487536,-0.22093857308959386,55.375947479919624,1337,55,0,-0.20110025500600923,608,60-70-100_n11,20,0.6,0.7,11,0.001064384984480693,0.018317344049402773
0.22254976849152164,-0.22105214031792308,55.63739582303044,1330,57,0,-0.20110410257891448,617,50-65-100_n11,20,0.5,0.65,11,0.0013522693011269737,0.018203776821073547
0.22248991674269392,-0.22109090918690655,55.58294379893788,1318,55,0,-0.2011041025789143,608,60-70-100_n9,20,0.6,0.7,9,0.001292417552299252,0.018165007952090084
0.22242104068448176,-0.22111872070623717,55.52034427692369,1330,55,0,-0.20101536909737946,608,60-70-100_n10,20,0.6,0.7,10,0.0012235414940870992,0.01813719643275946
0.2219695577701395,-0.22143055762357267,55.111659523006864,1375,54,0,-0.20097665423034342,608,60-70-100_n12,20,0.6,0.7,12,0.0007720585797448276,0.017825359515423966
0.22246823814121464,-0.22250841373377506,55.56323349730502,1330,55,0,-0.2009922659593231,617,55-70-100_n11,20,0.55,0.7,11,0.0012707389508199718,0.016747503405221575
0.2223541295224296,-0.2227338649114361,55.45959473628653,1319,58,0,-0.20110410257891487,608,55-70-100_n9,20,0.55,0.7,9,0.001156630332034947,0.016522052227560535
0.22267244319514523,-0.2227778565578763,55.74916144373964,1318,57,0,-0.20097665423034372,617,55-70-100_n10,20,0.55,0.7,10,0.0014749440047505669,0.016478060581120335
0.22212153556259762,-0.22324410509318626,55.24891047598047,1373,56,0,-0.2007409542211558,608,55-70-100_n12,20,0.55,0.7,12,0.0009240363722029521,0.01601181204581037
0.22267163809301294,-0.22407671757355985,55.74842724203454,1321,61,0,-0.20114652439927896,617,50-70-100_n11,20,0.5,0.7,11,0.0014741389026182716,0.015179199565436785
0.22221738358604148,-0.22437481684172822,55.335637613174924,1323,61,0,-0.20133263144856173,617,50-70-100_n9,20,0.5,0.7,9,0.0010198843956468195,0.014881100297268413
0.22292094429976816,-0.2244350762642554,55.976218094738314,1313,61,0,-0.2012852345471704,617,50-70-100_n10,20,0.5,0.7,10,0.0017234451093735004,0.014820840874741226
0.2223819453825533,-0.22490984756563326,55.48484145527845,1330,58,0,-0.20105247570740073,608,60-75-100_n11,20,0.6,0.75,11,0.001184446192158628,0.014346069573363374
0.22226990378169798,-0.22505504719034963,55.38321482801705,1370,58,0,-0.20117905582896908,608,50-70-100_n12,20,0.5,0.7,12,0.001072404591303311,0.014200869948647
0.2221069637065869,-0.22513459418775073,55.2357365896532,1327,58,0,-0.20110410257891434,608,60-75-100_n9,20,0.6,0.75,9,0.0009094645161922266,0.014121322951245907
0.2225742596482576,-0.22517843689231776,55.65969203645428,1317,58,0,-0.2010679387003404,608,60-75-100_n10,20,0.6,0.75,10,0.0013767604578629467,0.014077480246678875
0.2220687890209434,-0.22564313933172475,55.20123838933154,1362,58,0,-0.20112613967205986,608,60-75-100_n12,20,0.6,0.75,12,0.0008712898305487382,0.01361277780727188
0.22258831916017763,-0.22647168786369332,55.67249534339236,1319,59,0,-0.20114652439927896,617,55-75-100_n11,20,0.55,0.75,11,0.0013908199697829637,0.012784229275303316
0.2219712185641982,-0.22676902248673503,55.11315763198096,1327,60,0,-0.2013068003012141,608,55-75-100_n9,20,0.55,0.75,9,0.0007737193738035497,0.012486894652261604
0.22282569321117074,-0.22682892686315714,55.88908308083958,1313,59,0,-0.20124522865821418,617,55-75-100_n10,20,0.55,0.75,10,0.0016281940207760748,0.012426990275839489
0.22222077869644807,-0.22744687622784698,55.33871201577321,1359,58,0,-0.20114652439927896,608,55-75-100_n12,20,0.55,0.75,12,0.0010232795060534094,0.011809040911149649
0.22279173863289325,-0.22803199918362516,55.85805284167672,1314,61,0,-0.20145215455899612,617,50-75-100_n11,20,0.5,0.75,11,0.0015942394424985906,0.011223917955371476
0.221834515006067,-0.22840145738615591,54.98997441399688,1331,61,0,-0.2018447175486735,617,50-75-100_n9,20,0.5,0.75,9,0.000637015815672326,0.010854459752840717
0.22307422500414642,-0.2284775106680913,56.11670918731829,1309,61,0,-0.2014521545589962,617,50-75-100_n10,20,0.5,0.75,10,0.0018767258137517562,0.010778406470905333
0.2223691585053189,-0.2292480218395151,55.47323424979232,1360,59,0,-0.20128523454717032,608,50-75-100_n12,20,0.5,0.75,12,0.001171659314924245,0.01000789529948154
0.2225788613852313,-0.243150739035224,55.66388230431751,1314,65,0,-0.20252558035966758,608,60-75-100_n8,20,0.6,0.75,8,0.001381362194836644,-0.003894821896227363
0.2228505607194009,-0.2435895339481664,55.911819261935534,1307,66,0,-0.20252558035966897,608,60-70-100_n8,20,0.6,0.7,8,0.001653061529006239,-0.004333616809169771
0.22312027365087728,-0.24402917607442276,56.158980965108185,1302,66,0,-0.20269338275378812,608,60-65-100_n8,20,0.6,0.65,8,0.0019227744604826125,-0.004773258935426128
0.22257394644454198,-0.24422691821772613,55.659406849067615,1314,67,0,-0.2033274335003373,608,55-75-100_n8,20,0.55,0.75,8,0.0013764472541473172,-0.004971001078729498
0.2228456451451366,-0.24466508731045278,55.90732429163251,1304,67,0,-0.2031728408035211,608,55-70-100_n8,20,0.55,0.7,8,0.001648145954741942,-0.005409170171456146
0.22311535745118127,-0.24510410241420932,56.15446654575044,1301,68,0,-0.20339426121825996,608,55-65-100_n8,20,0.55,0.65,8,0.001917858260786609,-0.005848185275212692
0.22256813399877506,-0.24530293493863087,55.65411458325683,1314,69,0,-0.20345932841555156,608,50-75-100_n8,20,0.5,0.75,8,0.0013706348083803999,-0.006047017799634236
0.22283983186638,-0.24574047831052404,55.90200887250969,1307,70,0,-0.2036995535206813,608,50-70-100_n8,20,0.5,0.7,8,0.0016423326759853474,-0.006484561171527403
0.22310954334903466,-0.24617886649133847,56.14912805068827,1301,70,0,-0.20370036465208038,617,50-65-100_n8,20,0.5,0.65,8,0.0019120441586399917,-0.006922949352341834
