Buffer basis points,Decision date,Execution date,Ticker,Intended shares,Executed shares,Close price used for planning,Next-open price,Close-to-open percentage gap,Cash available before execution,Required reserve,Uncommitted cash after reserve,Close required reserve,Close uncommitted cash after reserve,Intended notional,Executed notional,Whether it became q=0,Gap alone would clip with close uncommitted cash,Open uncommitted cash change vs close
0,2007-07-13,2007-07-16,GLBL1,136,135,28.68,28.97,1.011157601115764,3916.471811001022,0.0,3916.471811001022,0.0,3916.471811001022,3900.48,3910.95,False,True,0.0
0,2008-06-02,2008-06-03,JRCCQ,119,118,40.77,40.87,0.2452783909737466,4860.902657064056,0.0,4860.902657064056,0.0,4860.902657064056,4851.63,4822.66,False,True,0.0
0,2009-04-07,2009-04-08,NFLX,18,17,43.7,44.070142,0.8470068649885532,792.464503627109,0.0,792.464503627109,0.0,792.464503627109,786.6,749.192414,False,True,0.0
0,2009-09-11,2009-09-14,FUQI,103,101,30.35,30.99,2.108731466227342,3135.2555978131177,0.0,3135.2555978131177,0.0,3135.2555978131177,3126.05,3129.99,False,True,0.0
0,2009-10-21,2009-10-22,VECO,109,108,25.41,25.420000000000005,0.0393545848091481,2772.829127813121,0.0,2772.829127813121,0.0,2772.829127813121,2769.69,2745.3600000000006,False,True,0.0
0,2011-04-18,2011-04-19,JAZZ,54,53,34.21,34.44,0.6723180356620784,1850.3414510031243,0.0,1850.3414510031243,0.0,1850.3414510031243,1847.34,1825.32,False,True,0.0
0,2011-11-25,2011-11-28,GNCIQ,165,160,27.35,28.09,2.705667276051193,4523.953964751133,0.0,4523.953964751133,0.0,4523.953964751133,4512.75,4494.4,False,True,0.0
0,2013-03-05,2013-03-06,EV1,68,67,39.25,39.48,0.5859872611464922,2678.269642418638,0.0,2678.269642418638,0.0,2678.269642418638,2669.0,2645.16,False,True,0.0
0,2013-10-23,2013-10-24,QIHU,74,73,87.56,88.04,0.5481955230699054,6498.627412570626,0.0,6498.627412570626,0.0,6498.627412570626,6479.4400000000005,6426.92,False,True,0.0
0,2015-08-03,2015-08-04,ADPTQ,83,82,113.45,114.43,0.8638166593212926,9436.516818326698,0.0,9436.516818326698,0.0,9436.516818326698,9416.35,9383.26,False,True,0.0
0,2016-06-07,2016-06-08,CDE,844,812,8.32,8.65,3.966346153846145,7034.571285758376,0.0,7034.571285758376,0.0,7034.571285758376,7022.08,7023.8,False,True,0.0
0,2016-09-30,2016-10-03,WB,90,89,50.14,50.64,0.9972078181093024,4548.61812840786,0.0,4548.61812840786,0.0,4548.61812840786,4512.6,4506.96,False,True,0.0
