Buffer basis points,CAGR,Max drawdown,Sharpe,Ending equity,Ending multiple,Completed entries,Cash-limited close decisions,q=0 candidate skips at close,q=0 cash-scarcity skips at close,q=0 target-granularity skips at close,Next-open complete failures,Gap-clipped entries,One-share entries,Entries below 1%,Entries below 5%,Entries below 10%,Entries below 25%,Entries below 50%,Entries below 99%,Minimum entry fraction,Average entry fraction,Maximum entry fraction,Minimum post-buy cash excess over reserve,Reserve violations,Minimum actual cash,Open shortfall events,Gap-alone sufficient shortfall events,Positive-gap shortfall events,Gap >2.5% shortfall events,First holdings divergence vs 0bp,Buy decisions differing vs 0bp,Executed entry dates differing vs 0bp,Ticker admissions differing vs 0bp,Exits differing vs 0bp,Final holding-set difference vs 0bp,Cumulative days differing holdings vs 0bp,Marginal gap-clipped reduction per +5bp,Marginal q=0 skip increase per +5bp,Marginal CAGR change pp per +5bp
0,0.1454603836086088,-0.4901142196226078,0.7649936149589806,1397317.8592213374,15.122573069642186,523,119,632,632,0,0,27,28,40,51,53,56,72,235,0.0004025302532520693,0.8495281364233336,1.2412629358471419,1.270701536410975,0,1.270701536410975,27,27,27,3,,0,0,0,0,0,0,,,
5,0.14587080575698663,-0.48446694888689656,0.7831897404286414,1407365.4935171313,15.231314314744328,495,100,745,745,0,5,15,17,23,32,37,43,57,192,0.00030503204924645745,0.8769929975857435,1.2392220736934696,0.30890440871682756,0,49.97868668851379,20,15,20,2,2006-11-02,1653,274,358,194,12,4965,12.0,113.0,0.04104221483778314
10,0.15488287845556004,-0.49042738751414783,0.805082394739427,1646091.825445194,17.814947218600263,519,124,1004,1004,0,1,19,23,33,50,53,60,71,231,0.00018563010631380847,0.8453482148105664,1.223330188509835,0.012660515522895821,0,90.12839635307898,20,18,20,3,2006-11-02,1771,208,276,148,8,4787,-4.0,259.0,0.9012072698573403
15,0.15133040459970415,-0.4890609488494151,0.805462858193327,1547726.175162139,16.750377890918937,502,119,2338,2338,0,1,21,22,33,48,51,56,73,219,0.00017225113314289255,0.8463082659609211,1.238523584569674,0.03411948362372641,0,120.94001727511352,22,20,22,4,2006-11-02,2695,235,293,168,10,4748,-2.0,1334.0,-0.35524738558558866
20,0.1479891767196344,-0.4906684089259754,0.7802823270571787,1460326.628922735,15.804490013270623,512,109,1048,1048,0,2,21,15,22,34,39,47,63,212,0.0005033316573815106,0.8689702988189664,1.2292739946069604,0.16968228684294218,0,159.76287488556497,23,20,23,4,2006-11-02,2044,236,305,160,8,4964,0.0,-1290.0,-0.33412278800697415
25,0.15218146121731113,-0.46178206149889445,0.8088168237015968,1570910.82681415,16.999765372062615,509,118,1209,1209,0,3,26,18,29,43,47,51,62,219,0.0003437487198305245,0.859616789197045,1.2343496764491144,0.26669367351729534,0,204.47989733709778,29,23,28,3,2006-11-02,2206,329,428,222,10,4965,-5.0,161.0,0.4192284497676724
