decision_date,execution_date,ticker,intended_shares,executed_shares,close_price_used_for_planning,next_open_price,close_to_open_percentage_gap,cash_available_before_execution,required_reserve,uncommitted_cash_after_reserve,close_required_reserve,close_uncommitted_cash_after_reserve,intended_notional,executed_notional,became_q0,buffer_basis_points,gap_alone_would_clip,open_uncommitted_cash_change_vs_close
2007-07-13,2007-07-16,GLBL1,135,134,28.68,28.97,1.0111576011157641,3967.63961100102,64.14349980550051,3903.4961111955195,63.9010373055005,3903.7385736955193,3871.8,3881.98,False,5,True,-0.24246249999987413
2008-04-14,2008-04-15,SID,1,0,39.85,40.26,1.0288582183186845,100.04811566604985,60.410972380833016,39.63714328521684,59.84700905783302,40.20110660821683,39.85,0.0,True,5,True,-0.5639633229999959
2008-04-15,2008-04-16,SWN,1,0,38.76,39.35,1.5221878224974228,100.04811566604985,60.88898346133303,39.159132204716826,59.79248405783302,40.25563160821683,38.76,0.0,True,5,False,-1.0964994035000046
2008-05-30,2008-06-02,MMR,156,153,31.92,32.49,1.7857142857142794,5072.234374335509,64.78280417716775,5007.4515701583405,64.74244218716775,5007.491932148341,4979.52,4970.97,False,5,True,-0.04036199000074703
2009-09-11,2009-09-14,FUQI,22,21,30.35,30.99,2.1087314662273426,718.3716804605183,45.86213772973027,672.509542730788,46.13643984023026,672.235240620288,667.7,650.79,False,5,True,0.2743021105000025
2015-08-04,2015-08-05,SKX,9,8,153.9,154.911,0.6569200779727113,1518.9576562552484,123.94327475862764,1395.0143814966207,123.00075882812764,1395.9568974271208,1385.1000000000001,1239.288,False,5,False,-0.9425159305001216
2016-08-29,2016-08-30,NUVA,126,125,64.81,65.0,0.29316463508717305,8314.092039304924,123.07853217615244,8191.013507128771,123.06155101965246,8180.970488285272,8166.06,8125.0,False,5,True,10.04301884349934
2017-10-19,2017-10-20,PYPL,117,111,67.25,71.33,6.0669144981412515,8088.958341167325,157.0654143820837,7931.892926785241,156.41845417058366,7932.539886996741,7868.25,7917.63,False,5,True,-0.6469602115002999
2020-01-31,2020-02-03,SYNA,196,194,66.69,67.45,1.139601139601143,13307.257638839297,175.4465823194197,13131.811056519877,174.89256881941964,13132.365070019878,13071.24,13085.300000000001,False,5,True,-0.5540135000010196
2020-07-08,2020-07-09,DOCU,8,7,206.35,211.5,2.495759631693728,1851.4281010872983,192.24384905054367,1659.1842520367545,190.55394905054362,1660.8741520367546,1650.8,1480.5,False,5,True,-1.6899000000000797
2022-08-05,2022-08-08,CTIC,2619,2606,7.429999999999999,7.53,1.3458950201884479,19894.16174813057,244.1296164250653,19650.032131705502,243.5213508740653,19650.640397256506,19459.17,19623.18,False,5,True,-0.6082655510035693
2022-08-08,2022-08-09,SWN,1,0,6.54,6.68,2.1406727828746197,251.35856813057035,245.1376033720653,6.220964758505033,244.2835342840653,7.07503384650505,6.54,0.0,True,5,False,-0.854069088000017
2022-08-09,2022-08-10,AUY,1,0,4.99,5.07,1.603206412825653,251.35856813057035,247.9214501010653,3.437118029505058,246.14683928406527,5.211728846505082,4.99,0.0,True,5,False,-1.774610817000024
2023-02-03,2023-02-06,YPF,1772,1752,11.18,11.31,1.1627906976744207,20097.0134681306,260.7113500620653,19836.302118068535,260.55286173406535,19836.460606396537,19810.96,19815.120000000003,False,5,True,-0.15848832800111268
2024-02-08,2024-02-09,CRWD,68,67,323.04,330.0,2.1545319465081647,22532.675598130623,348.35959779906534,22184.316000331557,347.4436677990652,22185.23193033156,21966.72,22110.0,False,5,True,-0.9159300000028452
2024-07-15,2024-07-16,TRGP,171,170,134.34,134.89,0.40940896233436774,23445.979138130628,447.28098089406535,22998.698157236562,444.2762495690654,23001.702888561562,22972.14,22931.3,False,5,True,-3.0047313249997387
2024-12-18,2024-12-19,SOFI,1,0,15.24,15.72,3.149606299212593,435.9467631306443,422.0352392175653,13.911523913079009,418.4158983815653,17.530864749079,15.24,0.0,True,5,False,-3.619340835999992
2025-05-28,2025-05-29,TDUP,1453,1435,7.22,7.309999999999999,1.2465373961218607,10931.223008130743,428.69175678906544,10502.531251341677,427.8590265040654,10503.363981626677,10490.66,10489.849999999999,False,5,True,-0.832730284999343
2025-07-14,2025-07-15,ASM,5885,5857,4.29,4.31,0.4662004662004504,25719.638578130747,447.75546928906533,25271.88310884168,445.40392428906534,25274.234653841682,25246.65,25243.67,False,5,True,-2.3515450000013516
2026-03-06,2026-03-09,ERAS,1952,1936,15.47,15.6,0.8403361344537785,30802.90808813083,560.3511665440653,30242.556921586765,563.9039890440655,30239.004099086764,30197.440000000002,30201.6,False,5,True,3.552822500001639
