gap_ticker,ticker,name,category,isdelisted,exchange,location,currency,permaticker,cusips,siccode,sicsector,sicindustry,famaindustry,sector,industry,relatedtickers,firstadded,firstpricedate,lastpricedate,firstquarter,lastquarter,lastupdated,secfilings,companysite,table,figi,scalemarketcap,scalerevenue
,CCI1,CITICORP,Domestic Common Stock,Y,NYSE,New York; U.S.A,USD,114726,173034109,6021,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Regional,CCI,2018-09-27,1986-01-01,1998-10-07,1992-12-31,1998-09-30,2018-10-16,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000020405,,SEP,,5 - Large,5 - Large
CLTZF,CLTZF,COLT TELECOM GROUP PLC,ADR Common Stock,Y,NASDAQ,United Kingdom,USD,114932,196877104,4822,Transportation Communications Electric Gas And Sanitary Service,Telegraph & Other Message Communications,,Communication Services,Telecom Services,COLT,2018-09-19,1996-12-11,2006-05-10,,,2018-10-16,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001026733,,SEP,,,
,AVIVAP,AVIVA PLC,Institutional Investor,,,United Kingdom,USD,115337,,6311,Finance Insurance And Real Estate,Life Insurance,,Financial Services,Insurance - Life,,,,,2013-06-30,2026-03-31,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001140022,,SF3B,BBG000KB0YY0,,
,AVVIY,AVIVA PLC,ADR Common Stock,Y,NYSE,United Kingdom,USD,115337,05382A104 05382A302,6311,Finance Insurance And Real Estate,Life Insurance,,Financial Services,Insurance - Life,AV,2018-09-14,2009-10-20,2016-12-22,,,2021-08-26,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001140022,,SEP,BBG000KB0YY0,,
,STAZQ,STARTER CORP,Domestic Common Stock,Y,NYSE,Connecticut; U.S.A,USD,115810,855684106,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,Apparel,Consumer Cyclical,Apparel Manufacturing,STA,2018-08-21,1993-04-12,1999-04-19,1996-12-31,1998-09-30,2021-06-16,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000897507,,SF1,,2 - Micro,3 - Small
,STAZQ,STARTER CORP,Domestic Common Stock,Y,NYSE,Connecticut; U.S.A,USD,115810,855684106,2300,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,Apparel,Consumer Cyclical,Apparel Manufacturing,STA,2018-08-21,1993-04-12,1999-04-19,1996-12-31,1998-09-30,2021-06-16,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000897507,,SEP,,2 - Micro,3 - Small
C1,C1,CHRYSLER CORP,Domestic Common Stock,Y,NYSE,Michigan; U.S.A,USD,116356,171196108,3711,Manufacturing,Motor Vehicles & Passenger Car Bodies,Automobiles and Trucks,Consumer Cyclical,Auto Manufacturers,C,2018-07-10,1986-01-01,1998-11-12,1992-12-31,1998-09-30,2019-10-15,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000791269,,SF1,,5 - Large,5 - Large
C1,C1,CHRYSLER CORP,Domestic Common Stock,Y,NYSE,Michigan; U.S.A,USD,116356,171196108,3711,Manufacturing,Motor Vehicles & Passenger Car Bodies,Automobiles and Trucks,Consumer Cyclical,Auto Manufacturers,C,2018-07-10,1986-01-01,1998-11-12,1992-12-31,1998-09-30,2018-09-21,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000791269,,SEP,,5 - Large,5 - Large
,VICE,ADVISORSHARES VICE ETF,ETF,N,NYSEARCA,Maryland; U.S.A,USD,117002,00768Y545,,,,,,,ACT,2018-06-07,2017-12-13,2026-08-03,,,2026-08-03,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001408970,,SFP,BBG00JGGJ4N1,,
,LMLP,ETRACS MONTHLY PAY 2XLEVERAGED WELLS FARGO MLP EX-ENERGY ETN,ETN,Y,NYSEARCA,,USD,117276,90273A207,,,,,,,,2018-06-07,2014-07-10,2020-03-24,,,2022-02-10,,,SFP,,,
LTMAY,LTMAY,LATAM AIRLINES GROUP SA,ADR Common Stock,Y,NYSE,Chile,USD,119660,51817R106 501723100,4512,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,Transportation,Industrials,Airlines,LFL LTMAQ LTM,2018-04-21,1997-11-07,2022-11-14,2000-12-31,2021-12-31,2024-02-17,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001047716,,SF1,BBG000JJBNH6,5 - Large,5 - Large
LTMAY,LTMAY,LATAM AIRLINES GROUP SA,ADR Common Stock,Y,NYSE,Chile,USD,119660,51817R106 501723100,4512,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,Transportation,Industrials,Airlines,LFL LTMAQ LTM,2018-04-21,1997-11-07,2022-11-14,2000-12-31,2021-12-31,2024-02-05,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001047716,,SEP,BBG000JJBNH6,5 - Large,5 - Large
,PHS1,PROVANTAGE HEALTH SERVICES INC,Domestic Common Stock,Y,NYSE,Wisconsin; U.S.A,USD,119751,743725103,8093,Services,Services-Specialty Outpatient Facilities Nec,Healthcare,Healthcare,Medical Care Facilities,PHS,2018-04-17,1999-07-14,2000-06-14,1997-12-31,2000-03-31,2019-06-06,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001072471,,SF1,,3 - Small,3 - Small
,PHS1,PROVANTAGE HEALTH SERVICES INC,Domestic Common Stock,Y,NYSE,Wisconsin; U.S.A,USD,119751,743725103,8093,Services,Services-Specialty Outpatient Facilities Nec,Healthcare,Healthcare,Medical Care Facilities,PHS,2018-04-17,1999-07-14,2000-06-14,1997-12-31,2000-03-31,2018-06-13,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001072471,,SEP,,3 - Small,3 - Small
UCOMA,UCOMA,UNITEDGLOBALCOM INC,Domestic Common Stock,Y,NASDAQ,Colorado; U.S.A,USD,121040,913247508 910734102,4841,Transportation Communications Electric Gas And Sanitary Service,Cable & Other Pay Television Services,Communication,Communication Services,Telecom Services,,2018-01-10,1993-08-02,2005-06-15,1996-12-31,2005-09-30,2019-05-19,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001134061,,SF1,,4 - Mid,4 - Mid
UCOMA,UCOMA,UNITEDGLOBALCOM INC,Domestic Common Stock,Y,NASDAQ,Colorado; U.S.A,USD,121040,913247508 910734102,4841,Transportation Communications Electric Gas And Sanitary Service,Cable & Other Pay Television Services,Communication,Communication Services,Telecom Services,,2018-01-10,1993-08-02,2005-06-15,1996-12-31,2005-09-30,2018-09-21,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001134061,,SEP,,4 - Mid,4 - Mid
