date,nav,shadow_nav,shadow_dd,regular_systemic,emergency,allocation,damaged_breadth,green_breadth,r5,r10,r20,db5
1998-07-06,1.0,1.0,0.0,False,False,1.0,0.0,0.0,,,,
1998-07-07,0.9971241665006564,0.9971241665006564,-0.0028758334993435,False,False,1.0,0.0,1.0,,,,
1998-07-08,1.0046792739106565,1.0046792739106565,0.0,False,False,1.0,0.0,0.92,,,,
1998-07-09,1.0024145112406568,1.0024145112406568,-0.0022542145825146,False,False,1.0,0.04,0.8,,,,
1998-07-10,1.0006580825006564,1.0006580825006564,-0.0040024627902871,False,False,1.0,0.08,0.88,,,,
1998-07-13,1.0093023207706564,1.0093023207706564,0.0,False,False,1.0,0.08,0.88,0.009302320770656403,,,0.08
1998-07-14,1.0231804583806563,1.0231804583806563,0.0,False,False,1.0,0.08,0.92,0.026131441555010015,,,0.08
1998-07-15,1.0310048865506565,1.0310048865506565,0.0,False,False,1.0,0.08,0.88,0.02620300161814737,,,0.08
1998-07-16,1.0441641162006563,1.0441641162006563,0.0,False,False,1.0,0.08,0.84,0.04164904287780846,,,0.04
1998-07-17,1.0506982247806564,1.0506982247806564,0.0,False,False,1.0,0.16,0.8,0.050007233394796735,,,0.08
1998-07-20,1.0624468029206569,1.0624468029206569,0.0,False,False,1.0,0.16,0.72,0.05265467150558201,0.06244680292065685,,0.08
1998-07-21,1.0424292268206563,1.0424292268206563,-0.0188410149524403,False,False,1.0,0.2,0.64,0.018812681851317015,0.045435725902617685,,0.12000000000000001
1998-07-22,1.0416338501306563,1.0416338501306563,-0.0195896422604744,False,False,1.0,0.2,0.68,0.010309324154185395,0.03678246100982685,,0.12000000000000001
1998-07-23,1.0180250274106564,1.0180250274106564,-0.041810823269349,False,False,1.0,0.4,0.52,-0.02503350611694144,0.015572915191220504,,0.32
1998-07-24,1.0182859267406563,1.0182859267406563,-0.0415652586638713,False,False,1.0,0.48,0.48,-0.030848341869775697,0.017616251293296692,,0.31999999999999995
1998-07-27,1.0171946400506566,1.0171946400506566,-0.0425924034460853,False,False,1.0,0.44,0.4,-0.04259240344608539,0.00781957904740982,,0.28
1998-07-28,0.9961556588606564,0.9961556588606564,-0.0623947889699197,False,False,1.0,0.48,0.4,-0.04439012910366247,-0.026412544628511503,,0.27999999999999997
1998-07-29,0.9780975419606563,0.9780975419606563,-0.079391514688665,False,False,1.0,0.6,0.28,-0.06099677747802679,-0.051316288875223104,,0.39999999999999997
1998-07-30,1.0035535213706566,1.0035535213706566,-0.0554317462183547,False,False,1.0,0.48,0.48,-0.014215275312835951,-0.03889292324827953,,0.07999999999999996
1998-07-31,0.9839782737506564,0.9839782737506564,-0.0738564311684041,False,False,1.0,0.48,0.24,-0.033691571383896446,-0.06350058414149173,,0.0
