date,event,shadow_dd,damaged_breadth,green_breadth,r5,r10,db5
1998-08-04,enter,-0.1217156383472667,0.9166666666666666,0.0,-0.06326847235861166,-0.10485010580608378,0.43666666666666665
1998-11-02,exit,-0.2047338860880487,0.1875,0.6875,0.03008897617834405,0.04038350286960202,-0.2830882352941176
2000-03-15,enter,-0.1491433105042708,0.9444444444444444,0.0,-0.13138654208752354,-0.1016098598794577,0.5444444444444444
2000-05-15,exit,-0.3058748881433356,0.2105263157894736,0.5789473684210527,0.01649232476132223,0.004443710534077994,-0.18947368421052643
2007-07-27,enter,-0.104359498750038,0.875,0.0833333333333333,-0.07627842001021468,-0.10435949875003792,0.4583333333333333
2007-09-17,exit,-0.1255861844849745,0.5416666666666666,0.3333333333333333,0.008475627044152612,0.00287759192832282,-0.09469696969696972
2008-03-10,enter,-0.1430154385977217,0.9523809523809524,0.0476190476190476,-0.07792012684356042,-0.09407693691200014,0.5175983436853003
2008-04-07,exit,-0.0338195751277659,0.3636363636363636,0.5454545454545454,0.07177314295133619,0.09094922676747075,-0.4090909090909091
2008-07-02,enter,-0.1178179964645178,0.9583333333333334,0.0,-0.07637981481027845,-0.11781799646451785,0.41666666666666674
2008-12-18,exit,-0.3328677814656463,0.25,0.55,0.04334612780923086,0.03292418281752063,-0.30000000000000004
2010-05-20,enter,-0.150027156561307,0.8695652173913043,0.1304347826086956,-0.08472131043901954,-0.050876964035457384,0.411231884057971
2010-06-18,exit,-0.1125667832154527,0.55,0.35,0.0025224320018859547,0.021695203144492137,-0.1499999999999999
2011-08-05,enter,-0.1216304457786958,1.0,0.0,-0.08371171256859422,-0.11463906817869263,0.45833333333333337
2011-09-06,exit,-0.1040569513371468,0.2941176470588235,0.5294117647058824,0.0020004496938217375,0.06286504455343356,-0.11764705882352944
2015-08-24,enter,-0.1134901325597661,0.875,0.0,-0.10221886109862433,-0.09445295687555733,0.475
2015-10-28,exit,-0.1103247439149586,0.4285714285714285,0.5238095238095238,0.012776333953254504,0.02438212442721932,-0.1428571428571429
2018-10-10,enter,-0.1247266727312453,0.8636363636363636,0.1363636363636363,-0.06316026159761268,-0.06782362734790537,0.5
2019-01-22,exit,-0.218469164470584,0.5217391304347826,0.391304347826087,0.01720440015387048,0.025399774103114447,-0.34189723320158105
2020-02-27,enter,-0.1043635917764037,0.96,0.0,-0.09625690702938638,-0.0913625414448831,0.76
2020-04-21,exit,-0.2575545317870319,0.0,0.8888888888888888,0.0021600825914602773,0.01213398432969326,0.0
2020-08-11,enter,-0.117564238277122,0.9166666666666666,0.0416666666666666,-0.10060839761189666,-0.02954774744901889,0.75
2020-09-29,exit,-0.0657155528956935,0.5,0.5,0.0040729428466390605,0.042472613951434646,-0.09999999999999998
