date,nav,allocation,emergency,signal,vol_accel,spy_r20,shadow_nav,shadow_dd,damaged,green,r5,r10,r20,db5,regular
1998-07-06,1.0,1.0,False,False,,,1.0,0.0,0.0,0.0,,,,,False
1998-07-07,0.9971241665006564,1.0,False,False,,,0.9971241665006564,-0.0028758334993435,0.0,1.0,,,,,False
1998-07-08,1.0046792739106565,1.0,False,False,,,1.0046792739106565,0.0,0.0,0.92,,,,,False
1998-07-09,1.0024145112406568,1.0,False,False,,,1.0024145112406568,-0.0022542145825146,0.04,0.8,,,,,False
1998-07-10,1.0006580825006564,1.0,False,False,,,1.0006580825006564,-0.0040024627902871,0.08,0.88,,,,,False
1998-07-13,1.0093023207706564,1.0,False,False,,,1.0093023207706564,0.0,0.08,0.88,0.009302320770656403,,,0.08,False
1998-07-14,1.0231804583806563,1.0,False,False,,,1.0231804583806563,0.0,0.08,0.92,0.026131441555010015,,,0.08,False
1998-07-15,1.0310048865506565,1.0,False,False,,,1.0310048865506565,0.0,0.08,0.88,0.02620300161814737,,,0.08,False
1998-07-16,1.0441641162006563,1.0,False,False,,,1.0441641162006563,0.0,0.08,0.84,0.04164904287780846,,,0.04,False
1998-07-17,1.0506982247806564,1.0,False,False,,,1.0506982247806564,0.0,0.16,0.8,0.050007233394796735,,,0.08,False
1998-07-20,1.0624468029206569,1.0,False,False,,,1.0624468029206569,0.0,0.16,0.72,0.05265467150558201,0.06244680292065685,,0.08,False
1998-07-21,1.0424292268206563,1.0,False,False,,,1.0424292268206563,-0.0188410149524403,0.2,0.64,0.018812681851317015,0.045435725902617685,,0.12000000000000001,False
1998-07-22,1.0416338501306563,1.0,False,False,,,1.0416338501306563,-0.0195896422604744,0.2,0.68,0.010309324154185395,0.03678246100982685,,0.12000000000000001,False
1998-07-23,1.0180250274106564,1.0,False,False,,,1.0180250274106564,-0.041810823269349,0.4,0.52,-0.02503350611694144,0.015572915191220504,,0.32,False
1998-07-24,1.0182859267406563,1.0,False,False,,,1.0182859267406563,-0.0415652586638713,0.48,0.48,-0.030848341869775697,0.017616251293296692,,0.31999999999999995,False
1998-07-27,1.0171946400506566,1.0,False,False,,,1.0171946400506566,-0.0425924034460853,0.44,0.4,-0.04259240344608539,0.00781957904740982,,0.28,False
1998-07-28,0.9961556588606564,1.0,False,False,,,0.9961556588606564,-0.0623947889699197,0.48,0.4,-0.04439012910366247,-0.026412544628511503,,0.27999999999999997,False
1998-07-29,0.9780975419606563,1.0,False,False,,,0.9780975419606563,-0.079391514688665,0.6,0.28,-0.06099677747802679,-0.051316288875223104,,0.39999999999999997,False
1998-07-30,1.0035535213706566,1.0,False,False,,,1.0035535213706566,-0.0554317462183547,0.48,0.48,-0.014215275312835951,-0.03889292324827953,,0.07999999999999996,False
1998-07-31,0.9839782737506564,1.0,False,False,0.5128955944334552,,0.9839782737506564,-0.0738564311684041,0.48,0.24,-0.033691571383896446,-0.06350058414149173,,0.0,False
1998-08-03,0.9697345924031568,1.0,False,False,0.38865694432963616,-0.0404091354911027,0.9697345924031568,-0.0872629201411638,0.625,0.1666666666666666,-0.046657783848660705,-0.08726292014116377,-0.030265407596843152,0.185,False
1998-08-04,0.9331304120931564,0.4,True,True,0.5510673893224161,-0.07584754685196893,0.9331304120931564,-0.1217156383472667,0.9166666666666666,0.0,-0.06326847235861166,-0.10485010580608378,-0.06417832057173178,0.43666666666666665,False
1998-08-05,0.9340344025986448,0.4,True,False,0.717210330004245,-0.06993338350475231,0.9381897795931567,-0.1169536422773531,0.9166666666666666,0.0,-0.040801413617196136,-0.09930943634802591,-0.0661798208085782,0.31666666666666665,False
1998-08-06,0.9406859742898662,0.4,True,False,0.5465003805867286,-0.0596150068748772,0.9548926883981564,-0.1012324703945977,0.6956521739130435,0.1304347826086956,-0.048488527952190386,-0.06201452549067177,-0.04740735724554124,0.21565217391304348,False
