strategy,cagr,max_dd,ending_multiple,days_le_m10,days_le_m20,days_le_m25,dd_1pct_tail,longest_underwater_sessions,transitions
Sentinel 1.0x,0.22119749919039466,-0.23925591713899663,54.41940224142888,1387,69,0,-0.20379360768020738,607,14
Frozen recovery challenger,0.22251748466709476,-0.21949045670277334,55.60801829914156,1331,55,0,-0.20073582360660228,617,20
