strategy,peak,trough,max_dd,recovered
Sentinel 1.0x,2011-07-07,2011-10-03,-0.23925591713899663,2013-04-12
Frozen challenger,2021-02-12,2022-01-27,-0.21949045670277334,2023-07-31
