period,start,end,control_e3_return,candidate_e5_return,control_core_return,candidate_core_return,spy_return,candidate_minus_control,candidate_core_minus_control_core
calendar_2018,2018-01-02,2018-12-31,-0.2002044613297126,-0.2562280834283698,-0.19118477466310213,-0.20104422604811079,-0.052352779014780415,-0.05602362209865719,-0.009859451385008655
early_deterioration,2018-06-12,2018-09-20,-0.10502202587706944,-0.12360648800664364,-0.10502202587706877,-0.1236064880066432,0.05729276910301717,-0.01858446212957421,-0.01858446212957443
q4_selloff_to_slow,2018-09-20,2018-12-19,-0.19663063977450124,-0.17205517960610572,-0.19663063977450135,-0.17205517960610583,-0.14027327011700041,0.024575460168395513,0.024575460168395513
recovery_to_e3_release,2018-12-20,2019-02-04,0.002720435269643051,0.029242697345516655,0.07039935103203354,0.0692842758618637,0.10685427885994181,0.026522262075873604,-0.0011150751701698436
e3_release_to_control_release,2019-02-05,2019-02-22,0.027445710131054568,0.02467961109723049,0.027445710131054346,0.02467961109723027,0.022116191919398398,-0.0027660990338240765,-0.0027660990338240765
