security_id,ticker,priority,current_truth,vendor_category,cusips,base_disposition,held_sessions,pending_sessions,durable_ranked_sessions,recent_leadership_sessions,eligible_sessions,reason,status
895182212221004918,VTNRQ,P0_HELD_OR_PENDING,common,Domestic Common Stock,92534K107 92861H107 981517105,INFERRED_COMMON,6,1,160,113,270,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
177331179426033273,X,P1_DURABLE_RANKED,common,Domestic Common Stock,912909108 90337T101,INFERRED_COMMON,0,0,999,897,4768,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
932688238263985034,WPM,P1_DURABLE_RANKED,common,Canadian Common Stock,962879102 828336107,INFERRED_COMMON,0,0,889,925,4930,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
985458183012447728,SPWRQ,P1_DURABLE_RANKED,common,Domestic Common Stock Primary Class,867652406 867652109,INFERRED_COMMON,0,0,875,864,3650,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
756342866994377362,KGC,P1_DURABLE_RANKED,common,Canadian Common Stock,496902404 496902107 496902206,INFERRED_COMMON,0,0,808,824,4909,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
987173547474629718,TECK,P1_DURABLE_RANKED,common,Canadian Common Stock,878742204 878742303,INFERRED_COMMON,0,0,743,747,4822,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
272478278078438193,WOLF2,P1_DURABLE_RANKED,common,Domestic Common Stock,225447101 977852102,INFERRED_COMMON,0,0,724,787,4665,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
604275120822169397,ZG,P1_DURABLE_RANKED,common,Domestic Common Stock Primary Class,98954M101 98954A107,INFERRED_COMMON,0,0,707,641,3025,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
937288233487556127,SUNEQ,P1_DURABLE_RANKED,common,Domestic Common Stock,86732Y109 552715104,INFERRED_COMMON,0,0,610,456,2290,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
622802662196915364,RADCQ,P1_DURABLE_RANKED,common,Domestic Common Stock,767754104 767754872,INFERRED_COMMON,0,0,605,505,2516,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
329261821474200437,WLL2,P1_DURABLE_RANKED,common,Domestic Common Stock,966387102 966387409,INFERRED_COMMON,0,0,593,591,3302,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
867730713416103703,EGO,P1_DURABLE_RANKED,common,Canadian Common Stock,284902509 284902103,INFERRED_COMMON,0,0,583,606,2856,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
517535898370665174,ZNB,P1_DURABLE_RANKED,common,ADR Common Stock,G2287A100 G2287A209 169365202 G2287A126 G2287A134 G21225100 169365103 G4645B101 G2287A142,INFERRED_COMMON,0,0,532,597,2455,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
957008674074369745,S2,P1_DURABLE_RANKED,common,Domestic Common Stock Primary Class,85207U105 852061100 852061407,INFERRED_COMMON,0,0,522,589,3458,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
1042422373680994522,STM,P1_DURABLE_RANKED,common,ADR Common Stock,861012102 784213100,INFERRED_COMMON,0,0,517,335,3225,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
835968569385277275,DNRCQ,P1_DURABLE_RANKED,common,Domestic Common Stock,247916208 247916109,INFERRED_COMMON,0,0,502,470,2998,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
277908412373409816,MT,P1_DURABLE_RANKED,common,ADR Common Stock Primary Class,03938L203 03938L104 03937E101 58501T306 60684P101 464899103,INFERRED_COMMON,0,0,484,495,5050,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
801001360341549242,CYBR,P1_DURABLE_RANKED,common,ADR Common Stock,M2682V108 23243T105,INFERRED_COMMON,0,0,464,320,2628,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
44348566159439429,NGD,P1_DURABLE_RANKED,common,Canadian Common Stock,644535106 233296102,INFERRED_COMMON,0,0,438,356,1518,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
944511016703721079,LLFLQ,P1_DURABLE_RANKED,common,Domestic Common Stock,55003T107 55003Q103,INFERRED_COMMON,0,0,423,344,1358,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
697608626643031114,FRO,P1_DURABLE_RANKED,common,ADR Common Stock,G3682E192 M46528101 G3682E127 541794301,INFERRED_COMMON,0,0,422,425,2497,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
950956618868470019,SNBRQ,P1_DURABLE_RANKED,common,Domestic Common Stock,83125X103 81616X103,INFERRED_COMMON,0,0,419,382,1790,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
575969493483321836,RKLB,P1_DURABLE_RANKED,common,Domestic Common Stock Primary Class,773121108 773122106 G9442R126,INFERRED_COMMON,0,0,406,343,1012,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
573548210310379987,GTATQ,P1_DURABLE_RANKED,common,Domestic Common Stock,36191U106 3623E0209 36191U205,INFERRED_COMMON,0,0,389,255,717,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
649261350427076980,JASO,P1_DURABLE_RANKED,common,ADR Common Stock,466090206 466090107,INFERRED_COMMON,0,0,360,319,1228,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
389655448979765487,TSEM,P1_DURABLE_RANKED,common,ADR Common Stock,M87915274 M87915100,INFERRED_COMMON,0,0,356,171,1083,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
280302887364922861,FLNA,P1_DURABLE_RANKED,common,Domestic Common Stock Primary Class,14817C107 69562K100 69562K506,INFERRED_COMMON,0,0,355,311,885,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
677962974828146176,ONTO,P1_DURABLE_RANKED,common,Domestic Common Stock,683344105 630077105,INFERRED_COMMON,0,0,349,244,1189,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
82170842208443514,ASML,P1_DURABLE_RANKED,common,ADR Common Stock,N07059210 N07059186 N07059111,INFERRED_COMMON,0,0,348,376,5050,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
179460760874548237,TEN1,P1_DURABLE_RANKED,common,Domestic Common Stock,880349105 88037E101 880370101,INFERRED_COMMON,0,0,338,295,2534,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
1121292966566317463,TLRDQ,P1_DURABLE_RANKED,common,Domestic Common Stock,87403A107 587118100,INFERRED_COMMON,0,0,331,407,2230,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
1100231611071698839,LAR,P1_DURABLE_RANKED,common,ADR Common Stock,53680Q207 53681K100 H5012F103,INFERRED_COMMON,0,0,324,215,881,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
935924025138960001,USG1,P1_DURABLE_RANKED,common,Domestic Common Stock,903293405 903293306,INFERRED_COMMON,0,0,321,342,2758,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
685580789639317612,RIO,P1_DURABLE_RANKED,common,ADR Common Stock Primary Class,767204100 204412209 204412100 767202104,INFERRED_COMMON,0,0,307,387,5050,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
283931002164964504,TWOUQ,P1_DURABLE_RANKED,common,Domestic Common Stock,90214J101 90214J200,INFERRED_COMMON,0,0,292,239,1257,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
414519427740402819,BAC,P1_DURABLE_RANKED,common,Domestic Common Stock Primary Class,060505104 06605F102 638585109,INFERRED_COMMON,0,0,287,288,5050,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
1101603435419704379,STLA,P1_DURABLE_RANKED,common,ADR Common Stock Primary Class,N82405106 N31738102,INFERRED_COMMON,0,0,286,258,2822,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
410442889828988458,LUMN,P1_DURABLE_RANKED,common,Domestic Common Stock,156700106 550241103,INFERRED_COMMON,0,0,282,358,4926,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
1111338238950530033,YGEHY,P1_DURABLE_RANKED,common,ADR Common Stock,98584B103 98584B202,INFERRED_COMMON,0,0,282,256,1133,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
604552861545382186,HAPN,P1_DURABLE_RANKED,common,Domestic Common Stock,52603A208 52603A109,INFERRED_COMMON,0,0,278,290,1534,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
477302961403569227,ISEE,P1_DURABLE_RANKED,common,Domestic Common Stock,46583P102 683745103,INFERRED_COMMON,0,0,277,273,778,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
804009952146469650,PCG,P1_DURABLE_RANKED,common,Domestic Common Stock Primary Class,69331C108 694308107,REJECTED_V4_CONFLICT,0,0,273,296,5050,MANUAL_CONFLICT;MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
1104508571422042454,PKX,P1_DURABLE_RANKED,common,ADR Common Stock,693483109 730450103,INFERRED_COMMON,0,0,271,198,2008,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
902973650148541485,PIRRQ,P1_DURABLE_RANKED,common,Domestic Common Stock,720279108 720279504,INFERRED_COMMON,0,0,270,193,1383,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
368784581101499417,CAL1,P1_DURABLE_RANKED,common,Domestic Common Stock Primary Class,210795308 210795100,INFERRED_COMMON,0,0,268,275,1068,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
153535438649515067,AX,P1_DURABLE_RANKED,common,Domestic Common Stock Primary Class,05465C100 05566U108,INFERRED_COMMON,0,0,265,231,1387,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
338428006488523117,EQNR,P1_DURABLE_RANKED,common,ADR Common Stock,29446M102 85771P102,INFERRED_COMMON,0,0,258,303,4770,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
387526833910121934,FDG1,P1_DURABLE_RANKED,common,Canadian Common Stock,345425102 345426100,INFERRED_COMMON,0,0,257,162,521,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
292100658301919299,BLDP,P1_DURABLE_RANKED,common,Canadian Common Stock,058586108 05858H104,INFERRED_COMMON,0,0,252,192,839,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
810272368527364966,GG,P1_DURABLE_RANKED,common,Canadian Common Stock Primary Class,380956409 380956102,INFERRED_COMMON,0,0,243,474,3218,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
1056985280028675237,CAA,P1_DURABLE_RANKED,common,Domestic Common Stock,128195104 85375C101,INFERRED_COMMON,0,0,239,234,1866,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
