date,event,shadow_dd,damaged,green,r5,r10,db5,vol_accel,spy_r20
1998-08-04,enter,-0.1217156383472667,0.9166666666666666,0.0,-0.06326847235861166,-0.10485010580608378,0.43666666666666665,0.5510673893224161,-0.07584754685196893
1998-11-02,exit,-0.2047338860880487,0.1875,0.6875,0.03008897617834405,0.04038350286960202,-0.2830882352941176,-0.17682214894920956,0.13362436814809953
2000-03-15,enter,-0.1491433105042708,0.9444444444444444,0.0,-0.13138654208752354,-0.1016098598794577,0.5444444444444444,0.33143627035159273,-0.008977493999909325
2000-05-15,exit,-0.3058748881433356,0.2105263157894736,0.5789473684210527,0.01649232476132223,0.004443710534077994,-0.18947368421052643,0.005545682538449892,0.06824651211826582
2007-07-27,enter,-0.104359498750038,0.875,0.0833333333333333,-0.07627842001021468,-0.10435949875003792,0.4583333333333333,0.2497205309555255,-0.035045670717898325
2007-09-17,exit,-0.1255861844849745,0.5416666666666666,0.3333333333333333,0.008475627044152612,0.00287759192832282,-0.09469696969696972,-0.3512755223745625,0.023426161992547545
2008-07-02,enter,-0.1178179964645178,0.9583333333333334,0.0,-0.07637981481027845,-0.11781799646451785,0.41666666666666674,0.06409984276407243,-0.08114268348275344
2008-12-18,exit,-0.3328677814656463,0.25,0.55,0.04334612780923086,0.03292418281752063,-0.30000000000000004,-0.32743725837383675,0.09558162035543938
2011-08-05,enter,-0.1216304457786958,1.0,0.0,-0.08371171256859422,-0.11463906817869263,0.45833333333333337,0.5223946240179529,-0.10655419817723477
2011-09-06,exit,-0.1040569513371468,0.2941176470588235,0.5294117647058824,0.0020004496938217375,0.06286504455343356,-0.11764705882352944,-0.5230875722692705,0.04213629873823255
2015-08-24,enter,-0.1134901325597661,0.875,0.0,-0.10221886109862433,-0.09445295687555733,0.475,0.19693623405950134,-0.08361537970311106
2015-10-28,exit,-0.1103247439149586,0.4285714285714285,0.5238095238095238,0.012776333953254504,0.02438212442721932,-0.1428571428571429,0.07954902747215575,0.09038562205548772
2018-10-10,enter,-0.1247266727312453,0.8636363636363636,0.1363636363636363,-0.06316026159761268,-0.06782362734790537,0.5,0.5921466847817289,-0.03306528223552274
2019-01-22,exit,-0.218469164470584,0.5217391304347826,0.391304347826087,0.01720440015387048,0.025399774103114447,-0.34189723320158105,-0.39505670586721287,0.06981741042367506
2020-02-27,enter,-0.1043635917764037,0.96,0.0,-0.09625690702938638,-0.0913625414448831,0.76,0.08377100694864215,-0.08912751226725824
2020-04-21,exit,-0.2575545317870319,0.0,0.8888888888888888,0.0021600825914602773,0.01213398432969326,0.0,-0.34268324846325526,0.2246717593113674
