Transaction date,Buy or sell,Ticker,Ticker name,Amount of shares
2009-06-03,BUY,IQNT,,97.0
2009-06-09,SELL,AMGN,,54.0
2009-06-10,BUY,PALM,,236.0
2009-06-11,BUY,STRZA,,200.0
2009-06-18,SELL,MNST,,92.0
2009-07-10,BUY,STEC1,,120.0
2009-07-21,SELL,RGLD,,66.0
2009-07-21,BUY,BIDU,,9.0
2009-08-06,SELL,ESINQ,,25.0
2009-08-07,SELL,WTRG,,154.0
2009-08-12,SELL,MBOT,,1443.0
2009-08-20,SELL,COCOQ,,141.0
2009-08-20,BUY,ASH,,94.0
2009-09-08,BUY,DTGF,,151.0
2009-09-09,BUY,PWRD1,,90.0
2009-09-14,BUY,FUQI,,10.0
2009-09-18,SELL,IQNT,,97.0
2009-09-22,SELL,STEC1,,120.0
2009-09-22,BUY,CAR,,248.0
2009-09-23,SELL,AZO,,17.0
2009-10-20,BUY,JNY,,180.0
2009-10-22,BUY,VECO,,54.0
2009-10-28,SELL,CAR,,248.0
2009-10-28,SELL,FUQI,,10.0
2009-10-29,SELL,SNDA1,,74.0
2009-10-29,BUY,WCRX,,144.0
2009-11-02,SELL,DTGF,,151.0
2009-11-02,SELL,PALM,,236.0
2009-11-30,BUY,MATV,,55.0
2009-12-01,BUY,TUPBQ,,71.0
2009-12-02,BUY,MCK,,54.0
2009-12-03,BUY,PRGO,,27.0
2010-01-26,SELL,IAG,,364.0
2010-01-27,BUY,HNT,,139.0
2010-01-28,BUY,SKX,,58.0
2010-02-12,SELL,MATV,,55.0
2010-02-26,BUY,EL,,43.0
2010-03-03,SELL,PWRD1,,90.0
2010-03-17,BUY,LNCR,,66.0
2010-05-20,SELL,BKNG,,33.0
2010-05-21,BUY,DTGF,,84.0
2010-05-25,SELL,TUPBQ,,71.0
2010-05-26,SELL,VECO,,54.0
2010-06-08,SELL,GMCR,,346.5
2010-06-22,BUY,APKT,,132.0
2010-06-25,BUY,TSN,,211.0
2010-06-28,SELL,PRDO,,112.0
2010-06-28,BUY,VCI,,109.0
2010-06-30,SELL,JNY,,180.0
2010-07-07,SELL,ASH,,94.0
2010-07-09,BUY,IDC,,109.0
