decision_date,execution_date,ticker,mode,close_price,open_price,intended_target_dollars,cash_before_execution,execution_budget,executed_shares,executed_gross_dollars,entry_fraction_of_intended,cash_limited_at_open,rounding_underfill_dollars,rounding_underfill_fraction,close_required_10bp_cushion,close_cash_above_cushion,blocked,block_reason
2006-07-05,2006-07-06,MED,whole,19.49,19.87,4000.0,100000.0,4000.0,201.0,3997.8638699999997,0.9994659674999999,False,2.136130000000321,0.0005340325000000803,100.0,99900.0,False,
2006-07-05,2006-07-06,ACLI,whole,59.89,59.91,4000.0,96002.13613,4000.0,66.0,3958.0140599999995,0.9895035149999999,False,41.98594000000048,0.010496485000000121,100.0,99900.0,False,
2006-07-05,2006-07-06,FALB,whole,53.26,52.87,4000.0,92044.12207,4000.0,75.0,3969.2152499999997,0.9923038124999999,False,30.78475000000026,0.007696187500000065,100.0,99900.0,False,
2006-07-05,2006-07-06,TTI,whole,30.37,30.4,4000.0,88074.90682,4000.0,131.0,3986.382399999999,0.9965955999999998,False,13.617600000000948,0.003404400000000237,100.0,99900.0,False,
2006-07-05,2006-07-06,CHAP1,whole,71.0,71.5,4000.0,84088.52442,4000.0,55.0,3936.4324999999994,0.9841081249999999,False,63.567500000000564,0.015891875000000142,100.0,99900.0,False,
2006-07-05,2006-07-06,LFCHY,whole,61.65,62.998235,4000.0,80152.09192,4000.0,63.0,3972.8576938049996,0.9932144234512499,False,27.1423061950004,0.006785576548750101,100.0,99900.0,False,
2006-07-05,2006-07-06,ADM,whole,42.21,43.0,4000.0,76179.23422619501,4000.0,92.0,3959.9559999999997,0.9899889999999999,False,40.044000000000324,0.01001100000000008,100.0,99900.0,False,
2006-07-05,2006-07-06,LVS,whole,75.06999999999998,74.81999999999998,4000.0,72219.278226195,4000.0,53.0,3969.425459999998,0.9923563649999996,False,30.57454000000189,0.007643635000000472,100.0,99900.0,False,
2006-07-05,2006-07-06,MNST,whole,205.35,206.64608799999996,4000.0,68249.852766195,4000.0,19.0,3930.201947671999,0.9825504869179997,False,69.79805232800118,0.017449513082000295,100.0,99900.0,False,
2006-07-05,2006-07-06,BFH,whole,58.81,59.55,4000.0,64319.650818523005,4000.0,67.0,3993.8398499999994,0.9984599624999998,False,6.160150000000613,0.0015400375000001532,100.0,99900.0,False,
2006-07-05,2006-07-06,AVL1,whole,47.38,47.36,4000.0,60325.81096852301,4000.0,84.0,3982.2182399999992,0.9955545599999998,False,17.78176000000076,0.00444544000000019,100.0,99900.0,False,
2006-07-05,2006-07-06,LECO,whole,60.63,60.63,4000.0,56343.59272852301,4000.0,65.0,3944.89095,0.9862227375,False,55.109050000000025,0.013777262500000007,100.0,99900.0,False,
2006-07-05,2006-07-06,DAKT,whole,29.03,29.5,4000.0,52398.701778523005,4000.0,135.0,3986.4824999999996,0.9966206249999999,False,13.517500000000382,0.0033793750000000954,100.0,99900.0,False,
2006-07-05,2006-07-06,MTW,whole,44.87,45.0,4000.0,48412.21927852301,4000.0,88.0,3963.9599999999996,0.9909899999999999,False,36.04000000000042,0.009010000000000105,100.0,99900.0,False,
2006-07-05,2006-07-06,VOLT2,whole,47.67,48.400499999999994,4000.0,44448.25927852301,4000.0,82.0,3972.809840999999,0.9932024602499997,False,27.19015900000113,0.006797539750000282,100.0,99900.0,False,
2006-07-05,2006-07-06,EXPD,whole,53.73,53.419999999999995,4000.0,40475.449437523006,4000.0,74.0,3957.0330799999992,0.9892582699999998,False,42.966920000000755,0.010741730000000189,100.0,99900.0,False,
2006-07-05,2006-07-06,KEX,whole,39.46,40.15,4000.0,36518.416357523005,4000.0,99.0,3978.8248499999995,0.9947062124999999,False,21.175150000000485,0.0052937875000001215,100.0,99900.0,False,
2006-07-05,2006-07-06,OII,whole,46.05,45.85,4000.0,32539.591507523004,4000.0,87.0,3992.9389499999997,0.9982347374999999,False,7.06105000000025,0.0017652625000000625,100.0,99900.0,False,
2006-07-05,2006-07-06,FTI1,whole,69.18,69.6,4000.0,28546.652557523004,4000.0,57.0,3971.1671999999994,0.9927917999999999,False,28.83280000000059,0.007208200000000147,100.0,99900.0,False,
2006-07-05,2006-07-06,WEBX1,whole,35.75,35.65,4000.0,24575.485357523004,4000.0,112.0,3996.7927999999993,0.9991981999999998,False,3.2072000000007392,0.0008018000000001848,100.0,99900.0,False,
2006-07-05,2006-07-06,JLL,whole,86.25,86.31,4000.0,20578.692557523005,4000.0,46.0,3974.23026,0.9935575649999999,False,25.769740000000183,0.006442435000000046,100.0,99900.0,False,
2006-07-05,2006-07-06,AGP,whole,30.67,30.78,4000.0,16604.462297523005,4000.0,129.0,3974.59062,0.993647655,False,25.409380000000056,0.006352345000000014,100.0,99900.0,False,
