mode,cagr,max_drawdown,sharpe,ending_equity,close_admissions,completed_entries,next_open_blocks,invalid_open_market_blocks,zero_quantity_blocks,cash_limited_open_executions,rounding_underfill_dollars_total,average_rounding_underfill_fraction,fractional_buy_count,all_admitted_trades_executed,entry_fraction_lt_1pct,entry_fraction_lt_5pct,entry_fraction_lt_10pct,entry_fraction_lt_25pct,entry_fraction_lt_50pct,entry_fraction_lt_99pct,minimum_entry_fraction,average_entry_fraction,maximum_entry_fraction,first_holdings_divergence_date,cumulative_days_with_differing_holdings,differing_buy_date_ticker_decisions,differing_executed_entry_dates,differing_ticker_admissions,differing_exit_date_ticker_decisions,control_buy_count,arm_buy_count
whole,0.1464757576324387,-0.5056935816723378,0.7574898043091963,1422872.6926001697,522,521,0,0,0,118,21402.799181532388,0.009295045299058063,0,True,0,18,27,31,52,171,0.015998600786308284,0.8837225807565972,0.9999972940050227,2006-11-02,4844,404,292,167,210,519,521
fractional,0.14214093021244678,-0.5095740709494343,0.7484400409864809,1318352.6842191173,515,515,0,0,0,114,1.8749801711237524e-10,2.868944946971437e-17,515,True,0,20,26,37,57,114,0.025033542874725978,0.8825343622859702,1.0000000000000002,2006-11-02,4846,374,256,158,187,519,515
