Mode,decision_date,execution_date,ticker,mode,close_price,open_price,intended_target_dollars,cash_before_execution,execution_budget,executed_shares,executed_gross_dollars,entry_fraction_of_intended,cash_limited_at_open,rounding_underfill_dollars,rounding_underfill_fraction,close_required_10bp_cushion,close_cash_above_cushion,blocked,block_reason
whole,2006-07-05,2006-07-06,MED,whole,19.49,19.87,4000.0,100000.0,4000.0,201.0,3997.86387,0.9994659675,False,2.136130000000321,0.0005340325,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,ACLI,whole,59.89,59.91,4000.0,96002.13613,4000.0,66.0,3958.01406,0.989503515,False,41.98594000000048,0.0104964850000001,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,FALB,whole,53.26,52.87,4000.0,92044.12207,4000.0,75.0,3969.21525,0.9923038125,False,30.78475000000026,0.0076961875,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,TTI,whole,30.37,30.4,4000.0,88074.90682,4000.0,131.0,3986.382399999999,0.9965955999999998,False,13.617600000000948,0.0034044000000002,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,CHAP1,whole,71.0,71.5,4000.0,84088.52442,4000.0,55.0,3936.4325,0.984108125,False,63.56750000000056,0.0158918750000001,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,LFCHY,whole,61.65,62.998235,4000.0,80152.09192,4000.0,63.0,3972.857693805,0.99321442345125,False,27.1423061950004,0.0067855765487501,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,ADM,whole,42.21,43.0,4000.0,76179.23422619501,4000.0,92.0,3959.956,0.989989,False,40.04400000000032,0.010011,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,LVS,whole,75.06999999999998,74.81999999999998,4000.0,72219.278226195,4000.0,53.0,3969.425459999998,0.9923563649999996,False,30.57454000000189,0.0076436350000004,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,MNST,whole,205.35,206.646088,4000.0,68249.852766195,4000.0,19.0,3930.201947671999,0.9825504869179996,False,69.79805232800118,0.0174495130820002,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,BFH,whole,58.81,59.55,4000.0,64319.650818523005,4000.0,67.0,3993.83985,0.9984599624999998,False,6.160150000000613,0.0015400375000001,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,AVL1,whole,47.38,47.36,4000.0,60325.81096852301,4000.0,84.0,3982.2182399999992,0.9955545599999998,False,17.78176000000076,0.0044454400000001,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,LECO,whole,60.63,60.63,4000.0,56343.59272852301,4000.0,65.0,3944.89095,0.9862227375,False,55.109050000000025,0.0137772625,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,DAKT,whole,29.03,29.5,4000.0,52398.701778523005,4000.0,135.0,3986.4825,0.996620625,False,13.517500000000382,0.003379375,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,MTW,whole,44.87,45.0,4000.0,48412.21927852301,4000.0,88.0,3963.96,0.99099,False,36.04000000000042,0.0090100000000001,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,VOLT2,whole,47.67,48.4005,4000.0,44448.25927852301,4000.0,82.0,3972.809840999999,0.9932024602499996,False,27.19015900000113,0.0067975397500002,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,EXPD,whole,53.73,53.42,4000.0,40475.449437523006,4000.0,74.0,3957.0330799999992,0.9892582699999998,False,42.96692000000076,0.0107417300000001,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,KEX,whole,39.46,40.15,4000.0,36518.416357523005,4000.0,99.0,3978.82485,0.9947062125,False,21.175150000000485,0.0052937875000001,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,OII,whole,46.05,45.85,4000.0,32539.591507523004,4000.0,87.0,3992.93895,0.9982347375,False,7.06105000000025,0.0017652625,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,FTI1,whole,69.18,69.6,4000.0,28546.652557523004,4000.0,57.0,3971.1672,0.9927918,False,28.83280000000059,0.0072082000000001,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,WEBX1,whole,35.75,35.65,4000.0,24575.485357523004,4000.0,112.0,3996.7927999999993,0.9991981999999998,False,3.2072000000007392,0.0008018000000001,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,JLL,whole,86.25,86.31,4000.0,20578.692557523005,4000.0,46.0,3974.23026,0.993557565,False,25.769740000000183,0.006442435,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,AGP,whole,30.67,30.78,4000.0,16604.462297523005,4000.0,129.0,3974.59062,0.993647655,False,25.409380000000056,0.006352345,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,ATI,whole,68.61,68.56,4000.0,12629.871677523006,4000.0,58.0,3980.45648,0.99511412,False,19.543520000000623,0.0048858800000001,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,TEX,whole,98.96,99.16,4000.0,8649.415197523007,4000.0,40.0,3970.366399999999,0.9925915999999998,False,29.633600000001024,0.0074084000000002,100.0,99900.0,False,
whole,2006-07-05,2006-07-06,WCC,whole,66.6,66.5,4000.0,4679.048797523008,4000.0,60.0,3993.99,0.9984975,False,6.010000000000218,0.0015025,100.0,99900.0,False,
whole,2006-09-07,2006-09-08,CMCSK,whole,34.86,34.89999900000001,3534.9651096286,10992.897740715009,3534.9651096286,101.0,3528.4247988990005,0.9981498231165608,False,6.540310729599241,0.0018501768834392,88.374127740715,10904.523612974292,False,
whole,2006-09-11,2006-09-12,HCR1,whole,52.21,52.21000000000001,3446.1241176726408,7464.472941816008,3446.1241176726408,65.0,3397.04365,0.9857577771442,False,49.08046767264068,0.0142422228557999,86.15310294181602,7378.319838874192,False,
whole,2006-09-15,2006-09-18,CXW,whole,43.47,43.35,3492.2830565126405,9506.513762816008,3492.2830565126405,80.0,3471.4679999999994,0.9940396994814542,False,20.81505651264115,0.0059603005185458,87.30707641281602,6729.249336403192,False,
whole,2006-10-03,2006-10-04,CMCSA,whole,37.07,36.848014,3490.840630512641,10083.515762816009,3490.840630512641,94.0,3467.177029316,0.9932212313017664,False,23.663601196641597,0.0067787686982337,87.27101576281602,9996.244747053192,False,
whole,2006-10-16,2006-10-17,EPC,whole,76.62,76.4,3789.65314934,6616.33873350001,3789.65314934,49.0,3747.3436,0.9888355087727836,False,42.3095493400001,0.0111644912272165,94.7413287335,6521.5974047665095,False,
whole,2006-10-17,2006-10-18,UST1,whole,55.79,55.79,3763.80900534,2868.9951335000096,2868.9951335000096,51.0,2848.13529,0.7567162111465102,True,20.8598435000099,0.0072707838561448,94.0952251335,2774.8999083665094,False,
whole,2006-11-15,2006-11-16,VNO,whole,115.96,116.36,3899.0983937400006,4207.559843500009,3899.0983937400006,33.0,3843.71988,0.9857970976498284,False,55.378513740000926,0.0142029023501717,97.4774598435,4100.88238365651,False,
whole,2006-12-15,2006-12-18,MA,whole,96.19,96.0,4022.41519854,395.9899635000096,395.9899635000096,4.0,384.3839999999999,0.0955604981155396,True,11.605963500009691,0.0293087314573047,100.5603799635,295.4295835365096,False,
whole,2007-01-29,2007-01-30,TSG1,whole,32.3,32.33,4173.52981734,20714.95219350001,4173.52981734,128.0,4142.378239999999,0.9925359159504328,False,31.151577340000586,0.0074640840495671,104.3382454335,20582.56394806651,False,
whole,2007-01-30,2007-01-31,CF,whole,30.77,30.780000000000005,4187.399607859999,16583.57395350001,4187.399607859999,135.0,4159.4553,0.993326572460974,False,27.944307859999757,0.006673427539026,104.6849901965,16467.88896330351,False,
whole,2007-01-31,2007-02-01,MTCH,whole,38.4,38.36,4180.400057260001,12424.11865350001,4180.400057260001,108.0,4147.02288,0.9920157935119066,False,33.37717726000119,0.0079842064880933,104.51000143150002,12319.608652068511,False,
