Mode,Transaction date,Buy or sell,Ticker,Ticker name,Amount of shares
whole,2006-07-06,BUY,MED,,201.0
whole,2006-07-06,BUY,ACLI,,66.0
whole,2006-07-06,BUY,FALB,,75.0
whole,2006-07-06,BUY,TTI,,131.0
whole,2006-07-06,BUY,CHAP1,,55.0
whole,2006-07-06,BUY,LFCHY,,63.0
whole,2006-07-06,BUY,ADM,,92.0
whole,2006-07-06,BUY,LVS,,53.0
whole,2006-07-06,BUY,MNST,,19.0
whole,2006-07-06,BUY,BFH,,67.0
whole,2006-07-06,BUY,AVL1,,84.0
whole,2006-07-06,BUY,LECO,,65.0
whole,2006-07-06,BUY,DAKT,,135.0
whole,2006-07-06,BUY,MTW,,88.0
whole,2006-07-06,BUY,VOLT2,,82.0
whole,2006-07-06,BUY,EXPD,,74.0
whole,2006-07-06,BUY,KEX,,99.0
whole,2006-07-06,BUY,OII,,87.0
whole,2006-07-06,BUY,FTI1,,57.0
whole,2006-07-06,BUY,WEBX1,,112.0
whole,2006-07-06,BUY,JLL,,46.0
whole,2006-07-06,BUY,AGP,,129.0
whole,2006-07-06,BUY,ATI,,58.0
whole,2006-07-06,BUY,TEX,,40.0
whole,2006-07-06,BUY,WCC,,60.0
whole,2006-08-08,SELL,MNST,,76.0
whole,2006-08-10,SELL,EXPD,,74.0
whole,2006-08-16,SELL,MED,,201.0
whole,2006-08-28,SELL,DAKT,,135.0
whole,2006-09-08,BUY,CMCSK,,101.0
whole,2006-09-12,BUY,HCR1,,65.0
whole,2006-09-15,SELL,VOLT2,,82.0
whole,2006-09-18,SELL,OII,,87.0
whole,2006-09-18,BUY,CXW,,80.0
whole,2006-10-04,BUY,CMCSA,,94.0
whole,2006-10-17,BUY,EPC,,49.0
whole,2006-10-18,BUY,UST1,,51.0
whole,2006-11-16,BUY,VNO,,33.0
whole,2006-12-18,BUY,MA,,4.0
whole,2006-12-26,SELL,TTI,,131.0
whole,2006-12-26,SELL,ADM,,92.0
whole,2006-12-26,SELL,KEX,,99.0
whole,2006-12-26,SELL,FTI1,,57.0
whole,2006-12-26,SELL,WEBX1,,112.0
whole,2006-12-26,SELL,WCC,,60.0
whole,2007-01-30,BUY,TSG1,,128.0
whole,2007-01-31,BUY,CF,,135.0
whole,2007-02-01,BUY,MTCH,,108.0
whole,2007-02-02,BUY,HAS,,146.0
whole,2007-02-05,BUY,TRA,,278.0
whole,2007-02-28,SELL,LFCHY,,168.0021
whole,2007-03-01,BUY,RYAAY,,93.0
whole,2007-03-30,BUY,MIR2,,60.0
whole,2007-05-04,SELL,AGP,,129.0
whole,2007-05-15,BUY,GEN1,,175.0
whole,2007-05-22,SELL,LVS,,53.0
whole,2007-06-06,BUY,TRW,,116.0
whole,2007-06-13,SELL,ACLI,,132.0
whole,2007-06-22,BUY,NRG,,107.0
whole,2007-07-16,BUY,GLBL1,,60.0
whole,2007-07-25,SELL,MTCH,,108.0
whole,2007-08-10,SELL,TRA,,278.0
whole,2007-08-21,SELL,RYAAY,,93.0
whole,2007-08-24,BUY,TBSIQ,,115.0
whole,2007-09-12,BUY,GRMN,,41.0
