trailing_years,start,end,sentinel_cagr,sentinel_max_drawdown,sentinel_ending_multiple,spy_cagr,spy_max_drawdown,spy_ending_multiple
5,2021-07-30,2026-07-31,0.26198845352824063,-0.2092538606355594,3.202541694298352,0.1275588366954017,-0.2449730210824944,1.8230915657946114
10,2016-07-29,2026-07-31,0.2612687835004297,-0.21963097876900606,10.197909968670297,0.1498307955898699,-0.33700067485140295,4.042042042042042
15,2011-07-29,2026-07-31,0.21532840200958914,-0.21963097876900606,18.66175723271574,0.1439725500473199,-0.33700067485140295,7.526826466765408
20,2006-07-31,2026-07-31,0.22094618498568308,-0.21963097876900606,54.195852099734765,0.11256316445674552,-0.5520185564591099,8.443306659433066
