date,ticker,qty,price,notional
1998-07-07,BRK.A,50.0,78400.0,3920000.0
1998-07-07,CLTZF,20545.0,194.5,3996002.5
1998-07-07,GDYS,71040.0,56.25,3996000.0
1998-07-07,COF,32382.0,123.399,3995906.418
1998-07-07,LOW,90698.0,44.058025631833665,3995974.8087560497
1998-07-07,SAP,18586.0,215.0,3995990.0
1998-07-07,GAP,60775.0,65.75026382741436,3995972.2841111077
1998-07-07,WCOEQ,79621.0,50.18749813893934,3995978.7893204894
1998-07-07,LU1,46063.0,86.75,3995965.25
1998-07-07,NOK,50582.0,79.0,3995978.0
1998-07-07,VOD,46238.0,86.42218350136325,3995988.920736034
1998-07-07,WAT,63874.0,62.56,3995957.44
1998-07-07,DELL1,44328.0,90.145,3995947.56
1998-07-07,TELFY,26892.0,148.59124348810874,3995915.7198822205
1998-07-07,CLGX,40775.0,98.00003685467465,3995951.502749359
1998-07-07,WLA,53863.0,74.188,3995988.244
1998-07-07,LHSP,67443.0,59.25,3995997.75
1998-07-07,KM,199800.0,20.0,3996000.0
1998-07-07,TWX,34747.0,115.00140803682933,3995953.9250557087
1998-07-07,PHSYB,43493.0,91.875,3995919.375
1998-07-07,MFNXQ,82396.0,48.49699736755511,3995958.595097071
1998-07-07,BBY,97459.0,41.00150594451784,3995965.767846764
1998-07-07,PIXR,61953.0,64.5,3995968.5
1998-07-07,AEO,94851.0,42.129,3995977.7789999996
1998-07-07,C1,68454.0,58.375,3996002.25
1998-09-02,AEH1,105014.0,31.438,3301430.1319999998
1998-09-08,EXC,103007.0,31.94,3290043.58
1998-09-09,ANN,120589.0,28.37397263088683,3421588.985586012
1998-09-16,CSCO,53172.0,64.75400383734603,3443099.8920393633
1998-09-29,AGN1,54948.0,61.937021641594086,3403315.4651623117
1998-10-02,EYE1,49844.0,64.312,3205567.3279999997
1998-10-05,EAS,64054.0,50.25,3218713.5
1998-10-06,TAP,63792.0,49.38,3150048.96
1998-10-07,MFNXQ,112509.0,28.0021334958854,3150492.0374885704
1998-10-08,AMZN,36971.0,82.94887186629526,3066702.741768802
1998-10-09,MCK,36817.0,82.0,3018994.0
1998-10-12,MNMD1,48684.0,63.624,3097470.816
1998-10-13,BGEN,46111.0,68.25,3147075.75
1998-10-14,AAPL,78657.0,39.73023952095808,3125061.4499999997
1998-11-03,YHOO,23316.0,144.80407611755433,3376251.8387568966
1998-11-04,BUD1,58690.0,57.376,3367397.44
1998-11-05,MO,64748.0,52.69,3411572.1199999996
1998-11-06,GD,56226.0,60.75,3415729.5
1998-11-09,T,70869.0,48.31,3423681.39
1998-11-10,D,72917.0,47.13,3436578.21
1998-11-11,PEG,76281.0,39.63,3023016.0300000003
1998-11-25,ELX,856.0,27.43707337883959,23486.134812286688
1998-12-01,CDWC,115.0,81.376,9358.24
1999-01-28,POWI,145820.0,30.38,4430011.6
1999-01-29,TWX,25675.0,175.90000000000003,4516232.500000001
1999-02-23,RFMD,57236.0,75.9990081695508,4349879.23159241
1999-02-24,JAVA1,41671.0,105.062,4378038.602
1999-03-08,VRTY1,117914.0,38.0,4480732.0
1999-03-17,SEPR,34730.0,135.0,4688550.0
1999-03-24,SONE,73775.0,61.376,4528014.399999999
1999-04-08,GX,118636.0,41.375,4908564.5
1999-04-14,LVCI,103257.0,52.0,5369364.0
1999-04-23,ARMH1,139363.0,36.0,5017068.0
1999-04-26,GNET1,29291.0,174.124,5100266.084
1999-05-20,UCOMA,67824.0,73.376,4976653.824
1999-05-21,DISH,42877.0,115.0,4930855.0
1999-05-24,SDLI,43536.0,112.24908322396357,4886876.087238478
1999-06-07,KSWS,47941.0,47.188,2262239.9080000003
1999-06-23,QCOM,158.0,129.69212570199545,20491.355860915282
1999-06-24,CSE1,1.0,48.875,48.875
1999-08-02,RNB,73781.0,69.812,5150799.172
1999-08-03,REX,130986.0,39.314625315542735,5149665.511581681
1999-08-31,CPNLQ,57072.0,90.2489958509887,5150690.691207628
1999-09-03,KMG1,42867.0,119.74897977440021,5133279.515989214
1999-09-13,SMTC,69098.0,77.3100128514882,5341967.268012132
1999-10-11,PWER1,185347.0,28.501888292585967,5282739.489365932
1999-11-04,MSTR,55617.0,99.88,5555025.96
1999-11-15,OMPT,72274.0,81.0,5854194.0
1999-11-23,VSTR1,61348.0,102.233,6271790.084
1999-11-30,TFSIQ,172225.0,37.562,6469115.449999999
1999-12-06,VIAV,25712.0,256.94,6606441.28
1999-12-15,VIGN,14300.0,131.12480402576102,1875084.6975683826
1999-12-21,BEAS,197127.0,31.938,6295842.126
2000-01-19,MGIC,94233.0,80.49994705820069,7585751.511135425
2000-02-02,VRTS1,50477.0,155.81199288204107,7864921.964706787
2000-02-07,DTPI,8865.0,88.25,782336.25
2000-02-14,MEDX1,48763.0,82.688,4032114.944
2000-02-17,IMMU,2.0,28.88,57.76
2000-02-29,MAXM,125793.0,75.75,9528819.75
2000-03-14,MYGN,60019.0,170.1,10209231.9
2000-03-28,DSGX,141293.0,61.25,8654196.25
2000-03-29,LMLP1,150483.0,56.625,8521099.875
2000-03-30,ORTL,40878.0,195.812,8004402.936000001
2000-04-07,WGRD,88030.0,82.0,7218460.0
2000-04-14,SSTI1,96233.0,72.0011803472188,6928889.588353908
2000-04-17,MANH,330287.0,20.557918185500203,6790013.123734306
2000-04-18,TLGD,109051.0,63.562,6931499.662
2000-04-19,ORCL,90953.0,78.63,7151634.39
2000-04-20,AZTA,85569.0,83.63,7156135.47
2000-04-28,CELG,153485.0,48.243899371069176,7404714.8949685525
2000-05-01,OPTX1,41084.0,179.0,7354036.0
2000-05-02,ARXX,175446.0,42.37499999999999,7434524.249999999
2000-05-03,CMOS,52584.0,138.0,7256592.0
2000-05-04,NEWP1,55773.0,128.75211958364855,7180891.9655388305
2000-05-05,SII1,88762.0,81.0,7189722.0
2000-05-08,IVX,230750.0,32.43750000000001,7484953.125000002
2000-05-09,PWER1,97629.0,75.24803139481,7346390.057043905
2000-05-10,AMD,88356.0,80.5,7112658.0
2000-05-11,MTSN,169681.0,40.0,6787240.0
2000-05-12,PLXS,89991.0,78.13,7030996.829999999
2000-05-15,MTZ,92520.0,77.7495,7193383.74
2000-05-16,NSP,138926.0,53.752,7467550.352
2000-05-17,GIL,208451.0,36.692021043402015,7648488.478518194
2000-05-18,VSH,85545.0,89.24951362662874,7634849.6431899555
2000-05-19,BBRC1,6130.0,61.0,373930.0
2000-05-30,PWR,142270.0,45.63,6491780.100000001
2000-06-14,XTO,391585.0,19.955415716096322,7814241.463187578
2000-06-22,DGX,113632.0,73.0020526374986,8295369.24530424
2000-06-23,CGP,140199.0,57.75,8096492.25
2000-06-26,AZA.A,277067.0,29.250000000000004,8104209.750000001
2000-06-27,LH,80162.0,75.752,6072431.824
2000-06-28,DVN,155.0,56.38,8738.9
2000-07-25,NGH,332186.0,25.25,8387696.5
2000-07-28,KBL,188839.0,44.812,8462253.268
2000-08-07,IBLTZ,4504907.0,1.8791034077555815,8465186.095321974
2000-08-21,PCP,128972.0,68.44,8826843.68
2000-08-24,FL,609698.0,14.88,9072306.24
2000-08-29,TRV,197844.0,46.75,9249207.0
2000-08-30,KSE,271766.0,34.25,9307985.5
2000-09-05,CAH,112949.0,84.25099888085552,9516066.07259375
2000-09-14,DST,31.0,104.1,3227.1
2000-09-25,COCOQ,174046.0,55.62601361135245,9681485.165001448
2000-09-26,CNP,227863.0,39.69,9043882.469999999
2000-10-25,GELX,198807.0,48.0,9542736.0
2000-11-09,ADVP,231417.0,41.25,9545951.25
2000-11-13,OKE,227123.0,41.56,9439231.88
2000-11-17,MCK,297300.0,31.75,9439275.0
2000-11-27,KSWS,373326.0,25.06601026628168,9357793.348669874
2000-11-30,NEU1,139037.0,66.99999670985916,9315478.542548688
2000-12-07,PPL,223675.0,42.13,9423427.75
2000-12-15,EG,144117.0,65.19,9394987.23
2000-12-22,MTH,292465.0,33.12,9686440.799999999
2001-01-11,IGT1,198261.0,47.50000000000001,9417397.500000002
2001-01-17,AF,185708.0,48.87800876072276,9077037.250936301
2001-01-22,IBP1,305125.0,28.812,8791261.5
2001-02-14,ADM,624798.0,15.35,9590649.299999999
2001-02-21,TFC,259214.0,36.62,9492416.68
2001-02-22,PII,199229.0,47.3,9423531.7
2001-02-23,LNCR,172619.0,54.24998636338843,9364578.396061748
2001-02-26,SOTR,216556.0,42.75,9257769.0
2001-02-27,SLM,133305.0,71.001,9464788.305000002
2001-03-01,UCBHQ,166699.0,55.872,9313806.528
2001-03-28,LIT1,107799.0,80.0,8623920.0
2001-04-17,OA,96178.0,89.64802524708875,8622167.772214502
2001-04-19,RAI,156523.0,55.70808866705813,8719597.162433939
2001-04-20,GTK,293830.0,29.353970726467033,8625077.218557809
2001-04-23,HRB,158978.0,53.712,8539026.336000001
2001-05-03,CNX,130826.0,36.95081113558983,4834126.817624675
2001-05-10,DINO,1043.0,35.99393530997305,37541.67452830189
2001-05-17,FCX,1236.0,15.52,19182.72
2001-06-28,ATVI,246832.0,37.15006560449859,9169824.993289597
2001-07-16,TVTY,95974.0,36.55004279722674,3507853.807421039
2001-07-31,FLIR,294664.0,30.698040414783303,9045607.380781706
2001-08-02,AZO,149070.0,46.6,6946662.0
2001-08-24,MOVIQ,274133.0,33.20126518582417,9101562.429185538
2001-08-27,MGA,141064.0,63.9,9013989.6
2001-09-07,BKS,218416.0,39.0,8518224.0
2001-09-10,PRX,243057.0,34.25,8324702.25
2001-09-18,IART,277895.0,29.2,8114534.0
2001-10-11,ILUM,198760.0,43.5,8646060.0
2001-10-18,WFM,254555.0,33.62,8558139.1
2001-10-19,FLO,230268.0,37.013888888888886,8523114.166666666
2001-10-22,PCG,429338.0,19.81,8505185.78
2001-10-23,CACI,17967.0,60.08,1079457.3599999999
2001-10-26,AON,1.0,39.79,39.79
2001-11-07,RNR,121.0,102.502006895942,12402.742834408982
2001-12-12,CBRL,295024.0,29.15,8599949.6
2002-01-07,BALL,49728.0,72.96610169491524,3628458.305084745
2002-02-14,DLX,195654.0,46.53,9103780.620000001
2002-02-25,INVN1,136607.0,39.33,5372753.31
2002-04-12,NVR,27972.0,345.0,9650340.0
2002-05-13,HCBK,250160.0,38.70503123972377,9682450.6149293
2002-05-22,JAH,159660.0,37.13935518252065,5929669.448441247
2002-05-30,RYL,108.0,110.2,11901.6
2002-06-03,TSCO,21.0,55.219574468085106,1159.6110638297873
2002-08-05,HSAC1,7218898.0,1.17,8446110.66
2002-08-09,SIE,391673.0,22.0,8616806.0
2002-08-15,NEWCQ,309009.0,28.35,8760405.15
2002-08-21,BLUD,326764.0,27.33640023001725,8932551.484761357
2002-08-22,ZD,391931.0,22.892,8972084.452
2002-08-23,CTSH,152041.0,59.34389844389844,9022705.663308762
2002-08-26,MCO,145016.0,49.50000000000001,7178292.000000001
2002-08-27,PZZA,1.0,31.588,31.588
2002-08-29,PIXR,251.0,47.85096713558088,12010.592751030801
2002-10-04,ZD,372099.0,21.412,7967383.788
2002-10-15,COCOQ,209731.0,39.06,8192092.86
2002-10-24,TEVA,122910.0,69.2,8505372.0
2002-11-05,AMLN,467518.0,17.94,8387272.920000001
2002-11-07,BSX,215760.0,39.52,8526835.200000001
2002-11-25,NTES,1004918.0,8.308850710900474,8349713.638696683
2002-12-03,ODFL,321548.0,25.89943379790941,8327911.138850175
2002-12-11,NXTL,678802.0,12.15,8247444.3
2003-01-10,CTXS,158278.0,13.8,2184236.4
2003-02-24,HLTH1,822405.0,9.79,8051344.949999999
2003-02-25,GRMN,237794.0,33.48,7961343.119999999
2003-02-28,AMZN,372088.0,21.570199818346957,8026012.510009083
2003-03-07,WDC,1024990.0,7.75,7943672.5
2003-03-18,SCIO1,184731.0,43.84,8098607.040000001
2003-03-19,NTES,595914.0,13.720000000000002,8175940.080000001
2003-03-20,ROL,378935.0,21.554057142857143,8167586.6434285715
2003-03-21,ADTN,12951.0,36.95,478539.45
