date,nav_terminal_corrected,allocation_terminal_corrected,parent_allocation_terminal_corrected,shadow_equity_terminal_corrected,open_shadow_equity_terminal_corrected,shadow_dd_terminal_corrected,damaged_terminal_corrected,green_terminal_corrected,r20_terminal_corrected,r40_terminal_corrected,stops20_terminal_corrected,stress_duration_terminal_corrected,nav_issuer_corrected,allocation_issuer_corrected,parent_allocation_issuer_corrected,shadow_equity_issuer_corrected,open_shadow_equity_issuer_corrected,shadow_dd_issuer_corrected,damaged_issuer_corrected,green_issuer_corrected,r20_issuer_corrected,r40_issuer_corrected,stops20_issuer_corrected,stress_duration_issuer_corrected,nav_delta,shadow_equity_delta,allocation_delta,parent_allocation_delta,damaged_delta,green_delta
2025-12-23,35.470280969375345,1.0,1.0,11372831902.95817,11337158668.50142,-0.0003978881439195,0.24,0.56,0.0662382112040578,0.0695984489653405,0,0,35.47022986487237,1.0,1.0,11372815517.327557,11337158668.50142,-0.000399328340267,0.24,0.56,0.0662366750004432,0.0695969079203975,0,0,-5.1104502972521004e-05,-16385.630613327026,0.0,0.0,0.0,0.0
2025-12-24,35.73235869945324,1.0,1.0,11456861853.898172,11396953541.098171,0.0,0.24,0.6,0.0663798001310791,0.0939140895229317,0,0,35.73231424445531,1.0,1.0,11456847600.297558,11396941459.93756,0.0,0.24,0.64,0.0663784734369139,0.0939127285730714,0,0,-4.4454997933485174e-05,-14253.60061454773,0.0,0.0,0.0,0.040000000000000036
2025-12-26,35.66687315758372,1.0,1.0,11435865232.518171,11488783162.153172,-0.0018326677625823,0.24,0.52,0.0543557272755226,0.0764725500642573,0,0,35.66680676735624,1.0,1.0,11435843945.827557,11488762157.12256,-0.0018332839191694,0.2,0.56,0.0543537647004388,0.0764705463209756,0,0,-6.639022748089474e-05,-21286.690614700317,0.0,0.0,-0.03999999999999998,0.040000000000000036
2025-12-29,35.26940083792114,1.0,1.0,11308423730.673174,11332680355.893171,-0.0129562636887773,0.28,0.4,0.0372542139992564,0.0568282826455353,0,0,35.26928301964199,1.0,1.0,11308385954.612558,11332664530.592556,-0.0129583329432734,0.28,0.44,0.0372507490266842,0.0568247522853173,0,0,-0.0001178182791505833,-37776.06061553955,0.0,0.0,0.0,0.03999999999999998
2025-12-30,35.034876682471456,1.0,1.0,11233228279.038174,11348187992.57817,-0.0195196186976722,0.32,0.36,0.0399318746386483,0.0492514878981524,0,0,35.03475007602194,1.0,1.0,11233187685.227558,11348151065.047554,-0.019521942062334,0.32,0.4,0.0399281166096538,0.0492476961906283,0,0,-0.0001266064495126784,-40593.81061553955,0.0,0.0,0.0,0.040000000000000036
2025-12-31,34.74254620812742,1.0,1.0,11139498394.358171,11235374314.143171,-0.0277007319794134,0.36,0.28,0.0409575854796266,0.0363051424429903,0,0,34.74243233358552,1.0,1.0,11139461882.777555,11235335989.622557,-0.0277027092087492,0.36,0.32,0.040954173565961,0.0363017457784895,0,0,-0.00011387454190270319,-36511.580615997314,0.0,0.0,0.0,0.03999999999999998
2026-01-02,35.73344781034288,1.0,1.0,11457211055.391172,11221630365.488173,0.0,0.24,0.44,0.0765187099402502,0.0741069598740351,0,0,35.7333409596941,1.0,1.0,11457176795.880558,11221585356.697556,0.0,0.24,0.48,0.076515490919147,0.0741037480645803,0,0,-0.00010685064878401818,-34259.51061439514,0.0,0.0,0.0,0.03999999999999998
2026-01-05,35.59870606220737,1.0,1.0,11414008824.96117,11567756819.696173,-0.0037707457967856,0.28,0.52,0.0547285643752266,0.0639915341725343,0,0,35.59852870973869,1.0,1.0,11413951960.460556,11567715049.955557,-0.0037727300704256,0.28,0.56,0.0547233097259605,0.0639862333752268,0,0,-0.00017735246868255672,-56864.50061416626,0.0,0.0,0.0,0.040000000000000036
2026-01-06,37.08010576026997,1.0,1.0,11888989831.221174,11422571476.206173,0.0,0.28,0.56,0.0926524053358341,0.1127379805178319,0,0,37.079973775656704,1.0,1.0,11888947513.01056,11422520180.655558,0.0,0.28,0.6,0.0926485160992149,0.1127340197877038,0,0,-0.0001319846132687985,-42318.21061515808,0.0,0.0,0.0,0.039999999999999925
2026-01-07,36.91116671587243,1.0,1.0,11834822925.821173,11821977264.149176,-0.004556056163641,0.24,0.6,0.0854581779278615,0.0951346976895681,0,0,36.91101658419809,1.0,1.0,11834774789.120558,11821941080.578558,-0.0045565617840199,0.24,0.6,0.0854537629589458,0.0951302433625869,0,0,-0.0001501316743457437,-48136.7006149292,0.0,0.0,0.0,0.0
