date,nav,allocation,persistent_bear,base_allocation,shadow_nav,r20,r40,positive_day_share20,damaged,green,holdings,fund_n,fund_health,fund_weak_share,fund_strong_share,fund_coverage,stress_duration,stress_episode_return,oracle20,oracle40,oracle60,regret100_20,regret100_40,regret100_60
1998-07-06,1.0,1.0,False,1.0,1.0,,,,0.0,0.0,0,0,,,,,0,0.0,0,0,0,0.0292654075968429,0.2015228069796635,0.1512726853658424
1998-07-07,0.9971241665006564,1.0,False,1.0,0.9971241665006564,,,,0.0,1.0,25,0,,,,0.0,0,0.0,0,0,0,0.0631783205717315,0.1704314369924172,0.1656097541287396
1998-07-08,1.0046792739106565,1.0,False,1.0,1.0046792739106565,,,,0.0,0.92,25,0,,,,0.0,0,0.0,0,0,0,0.0651798208085779,0.1760873424429928,0.200541531127978
1998-07-09,1.0024145112406568,1.0,False,1.0,1.0024145112406568,,,,0.04,0.8,25,0,,,,0.0,0,0.0,0,0,0,0.0464073572455409,0.1733981021663645,0.1954514830778457
1998-07-10,1.0006580825006564,1.0,False,1.0,1.0006580825006564,,,,0.08,0.88,25,1,0.7142857142857143,0.0,1.0,0.04,0,0.0,0,0,0,0.0292437761701483,0.1762077731598971,0.2112077770708275
1998-07-13,1.0093023207706564,1.0,False,1.0,1.0093023207706564,,,,0.08,0.88,25,2,0.8571428571428572,0.0,1.0,0.08,0,0.0,0,0,0,0.0324141119127212,0.1506382994575232,0.2178527757985757
1998-07-14,1.0231804583806563,1.0,False,1.0,1.0231804583806563,,,,0.08,0.92,25,2,0.8571428571428572,0.0,1.0,0.08,0,0.0,0,0,0,0.0668970808634761,0.1711985641074095,0.248935367690695
1998-07-15,1.0310048865506565,1.0,False,1.0,1.0310048865506565,,,,0.08,0.88,25,2,0.8571428571428572,0.0,1.0,0.08,0,0.0,0,0,0,0.0547626919916396,0.1843456898397748,0.2662048032925336
1998-07-16,1.0441641162006563,1.0,False,1.0,1.0441641162006563,,,,0.08,0.84,25,2,0.8571428571428572,0.0,1.0,0.08,0,0.0,0,0,0,0.0787512357478843,0.1854830682981363,0.2566340167728892
1998-07-17,1.0506982247806564,1.0,False,1.0,1.0506982247806564,,,,0.16,0.8,25,2,0.8571428571428572,0.0,1.0,0.08,0,0.0,0,0,0,0.0880390799217822,0.1789119071371541,0.2494342467600346
