date,allocation_old,allocation_new,parent_allocation_old,parent_allocation_new,shadow_dd_old,shadow_dd_new,damaged_old,damaged_new,green_old,green_new,r20_old,r20_new,r40_old,r40_new
2025-04-08,1.0,0.0,1.0,0.0,-0.2011204183137701,-0.2125754671358745,0.6666666666666666,0.8181818181818182,0.0476190476190476,0.0454545454545454,-0.0758115238503507,-0.0878912359783645,-0.1499984288803801,-0.1617003089164926
2025-04-09,1.0,0.0,1.0,0.0,-0.1540251569549232,-0.1646508899856805,0.3636363636363636,0.4090909090909091,0.4090909090909091,0.4090909090909091,-0.0231875395872835,-0.0342778146069464,-0.0866864446130186,-0.0981545045231301
2025-04-10,1.0,0.0,1.0,0.0,-0.1675714472057995,-0.1803289480705245,0.4545454545454545,0.5238095238095238,0.3636363636363636,0.3333333333333333,-0.0322125101854606,-0.045037071141237,-0.1038770393649364,-0.1182265772445692
2025-04-11,1.0,0.0,1.0,0.0,-0.1554212094991228,-0.1669476581473933,0.3809523809523809,0.45,0.4285714285714285,0.4,-0.0295011216678647,-0.0409491749095671,-0.1404071781186483,-0.1535190455015784
2025-04-14,1.0,0.0,1.0,0.0,-0.1439583634950233,-0.1556483143776612,0.3333333333333333,0.4,0.5238095238095238,0.5,-0.0248878575395206,-0.0366815419413258,-0.1436684746686646,-0.1556483143776612
2025-04-15,1.0,0.0,1.0,0.0,-0.1351913826643185,-0.1471431681373894,0.4090909090909091,0.5,0.4545454545454545,0.4,-0.0125677598361998,-0.0242891850805448,-0.1351913826643185,-0.147072505848821
2025-04-16,1.0,0.0,1.0,0.0,-0.1413623569350174,-0.152957709010268,0.3636363636363636,0.45,0.3636363636363636,0.3,-0.0298293635777089,-0.0413499264033924,-0.1412276234213765,-0.1528175662162209
2025-04-17,1.0,0.0,1.0,0.0,-0.1275286089592288,-0.1390466286709142,0.3636363636363636,0.45,0.4545454545454545,0.4,-0.0124961941044461,-0.0236731287565387,-0.1009922984556307,-0.1122363364705449
2025-04-21,1.0,0.0,1.0,0.0,-0.1469733113058176,-0.1559608595978669,0.5,0.55,0.1818181818181818,0.2,-0.0312955645553069,-0.0391781810013477,-0.0871186205528666,-0.0960412608467522
2025-04-22,1.0,0.0,1.0,0.0,-0.1276352576772677,-0.1374021210496099,0.4090909090909091,0.5,0.5,0.45,-0.0244735339226964,-0.0334486839599542,-0.0684273796886022,-0.0782716677691635
2025-04-23,1.0,0.0,1.0,0.0,-0.1246500955047197,-0.1340895489582909,0.5454545454545454,0.55,0.2727272727272727,0.25,-0.0205788962820715,-0.0288947085935969,-0.0447105461995136,-0.0541653368966904
2025-04-24,1.0,0.0,1.0,0.0,-0.1168792096539528,-0.125856357644111,0.5,0.5,0.2727272727272727,0.25,-0.0063835794935451,-0.0140664885297304,-0.0144210801295411,-0.0231920119899091
2025-04-25,1.0,0.0,1.0,0.0,-0.1100454809369785,-0.1213245731859309,0.4545454545454545,0.45,0.2727272727272727,0.3,-0.0003230549826875,-0.0101950058518576,-0.0067652432434354,-0.017569128977823
2025-04-28,1.0,0.0,1.0,0.0,-0.107856731705337,-0.1180216124441467,0.4090909090909091,0.4,0.3181818181818182,0.35,0.0069530290326293,-0.0008107738839284,-0.0164898609897904,-0.025756831453826
2025-04-29,1.0,0.0,1.0,0.0,-0.1107485387993928,-0.118448395100395,0.3636363636363636,0.35,0.3181818181818182,0.35,0.008680696775932,0.0032597889442886,-0.015026106796828,-0.021273336037935
2025-04-30,1.0,0.0,1.0,0.0,-0.10987989927951,-0.1183020453429003,0.3636363636363636,0.35,0.3636363636363636,0.4,0.0055356501173917,0.0030320960334762,-0.0032389070715279,-0.0110588394794109
2025-05-01,1.0,0.0,1.0,0.0,-0.1230896108985812,-0.1314929411923883,0.5454545454545454,0.55,0.3181818181818182,0.35,-0.0185184022648292,-0.0228634070986841,-0.0194552952596493,-0.027397774088491
2025-05-02,1.0,0.0,1.0,0.0,-0.1071439016819986,-0.1176716080750959,0.5,0.55,0.4090909090909091,0.4,0.0317828462513516,0.0291702631350065,0.0167883307613627,0.0064147127956928
2025-05-05,1.0,0.0,1.0,0.0,-0.1072420067165058,-0.1181603792126629,0.3181818181818182,0.35,0.4545454545454545,0.45,0.0960800017827818,0.0971292919119515,0.02374258534762,0.0129208675700787
2025-05-06,1.0,0.0,1.0,1.0,-0.1115924466320104,-0.1233777967597948,0.2272727272727272,0.25,0.5454545454545454,0.55,0.1018999493210519,0.1017472599927136,0.0337186811146741,0.0203519994421479
