date,allocation,candidate_alloc,nav,candidate_nav,raw_factor,frozen_factor,factor_delta_bp
2007-07-30,0.0,0.0,1.20322894160464,1.2031667965974284,1.001303025875519,1.0012513100452118,0.516511986432544
2007-09-18,1.0,1.0,1.2400837965313003,1.2399023782969432,1.022299401488757,1.0222026393179042,0.9466045882766672
2008-07-03,0.0,0.0,1.437914903093621,1.4375309779157193,0.9964793969629171,0.9963590981432143,1.2073841642723515
2008-12-24,1.0,1.0,1.445189250096024,1.444585058137726,0.9990008836660965,0.9988499244482789,1.5113303222302754
2011-08-08,0.0,0.0,2.588035631523149,2.586045545324025,0.9725783610373904,0.9722369550583744,3.51155114233892
2011-09-07,0.55,0.55,2.5944331571950943,2.592146505192321,1.002691711960152,1.0025789102664553,1.1251153653990542
2011-11-09,0.65,0.65,2.5330716326486544,2.530839062768832,0.988421029872463,0.9884210298724627,4.440892098500626e-12
2011-12-12,1.0,1.0,2.612054438811887,2.6097522559642377,0.9936584608200206,0.9936584608200205,2.220446049250313e-12
2015-08-25,0.0,0.0,4.805494099263488,4.8023071049115655,1.0278991613999982,1.0281236165784087,-2.183153609072175
2015-10-29,0.55,0.55,4.800649735775727,4.797264373023875,0.9994287545682412,0.9993867603108585,0.4202002573028274
2016-03-17,0.65,0.65,4.611810075779243,4.608557880574749,1.005337683407873,1.0053376834078729,2.220446049250313e-12
2016-04-01,1.0,1.0,4.652162848478031,4.648882196964258,1.0089477141431178,1.0089477141431173,4.440892098500626e-12
2018-10-11,0.0,0.0,6.702799596296941,6.69832880588726,0.9935362567843754,0.9935742217467457,-0.38210494535118045
2019-01-28,1.0,1.0,6.724977732047278,6.721884975578981,0.9972210074129694,0.9974276821844156,-2.072077756991586
2020-02-28,0.0,0.0,7.709911105051842,7.703395782751673,0.9663647472147139,0.9659923640800024,3.854928346831432
2020-04-22,1.0,1.0,7.814104847209263,7.807062700592965,1.0117610486551218,1.0117041885945972,0.5620225868940842
2022-05-18,0.0,0.0,16.157892594428972,16.138261594658083,0.9947324232845224,0.9944200560275239,3.1412002916186843
2022-08-05,0.55,0.55,16.357429418804045,16.33700878090119,1.0107966850190482,1.0107628293231143,0.33495192889532177
2022-08-19,0.65,0.65,16.5962456933363,16.575526916860284,0.9986377859175,0.9986377859175001,-1.1102230246251565e-12
2022-11-01,1.0,1.0,16.705196971272066,16.684342179867386,1.0042509243384004,1.0042509243384008,-4.440892098500626e-12
