trailing_years,start,prior_terminal_corrected_cagr,prior_terminal_corrected_mdd,prior_terminal_corrected_multiple,issuer_corrected_cagr,issuer_corrected_mdd,issuer_corrected_multiple,cagr_delta_pp,mdd_delta_pp,multiple_delta_pct
5,2021-07-30,0.2619850151938188,-0.2092538606355594,3.2024980485042946,0.26198845352824063,-0.2092538606355594,3.202541694298352,0.00034383344218458234,0.0,0.0013628671554632987
10,2016-07-29,0.26126706531243227,-0.21963097876900606,10.197770986598934,0.2612687835004297,-0.21963097876900606,10.197909968670297,0.0001718187997434839,0.0,0.0013628671554410943
15,2011-07-29,0.21532729827279407,-0.21963097876900606,18.661502901221986,0.21532840200958914,-0.21963097876900606,18.66175723271574,0.0001103736795071697,0.0,0.0013628671554410943
20,2006-07-31,0.22094535301499274,-0.21963097876900606,54.19511349233312,0.22094618498568308,-0.21963097876900606,54.195852099734765,8.319706903403556e-05,0.0,0.0013628671554410943
