ticker,name,permaticker,relatedtickers,corrected_issuer_key
GOOG,ALPHABET INC,119496,GOOGL GOOGM GOOGN,GOOG|GOOGL|GOOGM|GOOGN
GOOGL,ALPHABET INC,195146,GOOGM GOOGN GOOG,GOOG|GOOGL|GOOGM|GOOGN
