decision_date,execution_date,ticker,mode,close_price,open_price,intended_target_dollars,cash_before_execution,execution_budget,executed_shares,executed_gross_dollars,entry_fraction_of_intended,cash_limited_at_open,rounding_underfill_dollars,rounding_underfill_fraction,close_required_10bp_cushion,close_cash_above_cushion,blocked,block_reason
2006-07-05,2006-07-06,MED,fractional,19.49,19.87,4000.0,100000.0,4000.0,201.10739788646183,4000.0000000000005,1.0000000000000002,False,0.0,0.0,100.0,99900.0,False,
2006-07-05,2006-07-06,ACLI,fractional,59.89,59.91,4000.0,96000.0,4000.0,66.70011677522946,4000.0000000000005,1.0000000000000002,False,0.0,0.0,100.0,99900.0,False,
2006-07-05,2006-07-06,FALB,fractional,53.26,52.87,4000.0,92000.0,4000.0,75.58169086445993,4000.0,1.0,False,0.0,0.0,100.0,99900.0,False,
2006-07-05,2006-07-06,TTI,fractional,30.37,30.4,4000.0,88000.0,4000.0,131.4474998685525,4000.0,1.0,False,0.0,0.0,100.0,99900.0,False,
2006-07-05,2006-07-06,CHAP1,fractional,71.0,71.5,4000.0,84000.0,4000.0,55.88816777627967,4000.0000000000005,1.0000000000000002,False,0.0,0.0,100.0,99900.0,False,
2006-07-05,2006-07-06,LFCHY,fractional,61.65,62.998235,4000.0,80000.0,4000.0,63.43041191557186,4000.0,1.0,False,0.0,0.0,100.0,99900.0,False,
2006-07-05,2006-07-06,ADM,fractional,42.21,43.0,4000.0,76000.0,4000.0,92.93032548846504,4000.0000000000005,1.0000000000000002,False,0.0,0.0,100.0,99900.0,False,
2006-07-05,2006-07-06,LVS,fractional,75.06999999999998,74.81999999999998,4000.0,72000.0,4000.0,53.408233039347735,4000.0,1.0,False,0.0,0.0,100.0,99900.0,False,
2006-07-05,2006-07-06,MNST,fractional,205.35,206.64608799999996,4000.0,68000.0,4000.0,19.337428715340582,4000.0,1.0,False,0.0,0.0,100.0,99900.0,False,
2006-07-05,2006-07-06,BFH,fractional,58.81,59.55,4000.0,64000.0,4000.0,67.10334166253563,4000.0,1.0,False,0.0,0.0,100.0,99900.0,False,
2006-07-05,2006-07-06,AVL1,fractional,47.38,47.36,4000.0,60000.0,4000.0,84.37508437508438,4000.0,1.0,False,0.0,0.0,100.0,99900.0,False,
2006-07-05,2006-07-06,LECO,fractional,60.63,60.63,4000.0,56000.0,4000.0,65.90803226132272,4000.0000000000005,1.0000000000000002,False,0.0,0.0,100.0,99900.0,False,
2006-07-05,2006-07-06,DAKT,fractional,29.03,29.5,4000.0,52000.0,4000.0,135.45776257640668,4000.000000000001,1.0000000000000002,False,0.0,0.0,100.0,99900.0,False,
2006-07-05,2006-07-06,MTW,fractional,44.87,45.0,4000.0,48000.0,4000.0,88.80008880008882,4000.0000000000005,1.0000000000000002,False,0.0,0.0,100.0,99900.0,False,
2006-07-05,2006-07-06,VOLT2,fractional,47.67,48.400499999999994,4000.0,44000.0,4000.0,82.56121312804613,4000.0,1.0,False,0.0,0.0,100.0,99900.0,False,
2006-07-05,2006-07-06,EXPD,fractional,53.73,53.419999999999995,4000.0,40000.0,4000.0,74.8035192063646,4000.0,1.0,False,0.0,0.0,100.0,99900.0,False,
2006-07-05,2006-07-06,KEX,fractional,39.46,40.15,4000.0,36000.0,4000.0,99.52687412214188,4000.0,1.0,False,0.0,0.0,100.0,99900.0,False,
