trailing_years,start,end,a_cagr,b_cagr,delta_cagr,a_max_drawdown,b_max_drawdown,delta_max_drawdown,a_sharpe,b_sharpe,delta_sharpe,a_ending_multiple,b_ending_multiple,delta_ending_multiple,a_terminal_wealth_100m,b_terminal_wealth_100m,delta_terminal_wealth_100m
5,2021-07-30,2026-07-31,0.27740164661118016,0.27740164661118016,0.0,-0.20868899009684494,-0.20868899009684494,0.0,1.3238888920099299,1.3238888920099299,0.0,3.403036529919076,3.403036529919076,0.0,340303652.9919076,340303652.9919076,0.0
10,2016-07-29,2026-07-31,0.272273956387284,0.272273956387284,0.0,-0.21695821510142832,-0.21695821510142832,0.0,1.3188645943064323,1.3188645943064323,0.0,11.12390689012163,11.12390689012163,0.0,1112390689.012163,1112390689.012163,0.0
15,2011-07-29,2026-07-31,0.2273272117266094,0.2273272117266094,0.0,-0.21695821510142832,-0.21695821510142832,0.0,1.2382583659218995,1.2382583659218995,0.0,21.62623272786184,21.62623272786184,0.0,2162623272.786184,2162623272.786184,0.0
20,2006-07-31,2026-07-31,0.22630215620600636,0.22630215620600636,0.0,-0.21695821510142832,-0.21695821510142832,0.0,1.2138138710255424,1.2138138710255424,0.0,59.15428690967636,59.15428690967636,0.0,5915428690.967636,5915428690.967636,0.0
