trailing_years,a_cagr,strict_b_cagr,delta_cagr,a_max_drawdown,strict_b_max_drawdown,delta_max_drawdown,a_sharpe,strict_b_sharpe,delta_sharpe,a_ending_multiple,strict_b_ending_multiple,delta_ending_multiple
5,0.27740164661118016,0.2719013454854091,-0.0055003011257710455,-0.20868899009684494,-0.20402477914065675,0.004664210956188186,1.3238888920099299,1.3250471475216872,0.0011582555117573001,3.403036529919076,3.3303689276619606,-0.07266760225711533
10,0.272273956387284,0.2681164058417731,-0.004157550545510924,-0.21695821510142832,-0.22426324099077355,-0.007305025889345229,1.3188645943064323,1.3172963797200736,-0.001568214586358696,11.12390689012163,10.765545836950098,-0.35836105317153155
15,0.2273272117266094,0.2138032553613134,-0.01352395636529602,-0.21695821510142832,-0.22426324099077355,-0.007305025889345229,1.2382583659218995,1.1779859542201416,-0.0602724117017579,21.62623272786184,18.313390901494447,-3.312841826367393
20,0.22630215620600636,0.21349153444114055,-0.012810621764865804,-0.21695821510142832,-0.22426324099077355,-0.007305025889345229,1.2138138710255424,1.1584104647001425,-0.05540340632539986,59.15428690967636,47.94789347514485,-11.206393434531506
