div,wc,recent,spyfloor,recovery,vreb,cagr,mdd,sharpe,multiple
0.6,-0.08,-0.06,0.09,6,0.09,0.2203111062390916,-0.2095822093267469,1.2172504350295603,47.78109923649887
0.55,-0.1,-0.06,0.07,7,0.09,0.2202225626479352,-0.2095822093267471,1.2168378376173128,47.713816884970285
0.6,-0.1,-0.1,0.05,6,0.09,0.2199519854351905,-0.2095822093267469,1.2205807283487409,47.50876759298971
0.6,-0.12,-0.1,0.05,7,0.09,0.2199262973023787,-0.2095822093267471,1.2205387766897402,47.48934407034592
0.55,-0.12,-0.1,0.05,6,0.09,0.2199005250707368,-0.2095822093267469,1.2207901799680665,47.46986452760062
0.55,-0.08,-0.1,0.05,7,0.09,0.2198826894815653,-0.2095822093267471,1.220794781792878,47.45638821090309
0.5,-0.08,-0.1,0.05,6,0.09,0.2198476088925076,-0.2095822093267469,1.2209530983492858,47.4298924056628
0.5,-0.12,-0.1,0.05,7,0.09,0.2198376247794389,-0.2095822093267471,1.2210042768213478,47.422354130836254
0.6,-0.1,-0.1,0.03,6,0.09,0.2198186175897367,-0.2095822093267469,1.2200484209784477,47.40800633052615
0.6,-0.1,-0.1,0.03,7,0.09,0.2197929322652081,-0.2095822093267471,1.2200064342792567,47.3886240031976
0.55,-0.1,-0.1,0.03,6,0.09,0.2197504302650239,-0.2095822093267469,1.2201891557901494,47.356568201375154
0.55,-0.1,-0.1,0.03,7,0.09,0.2197325968703174,-0.2095822093267471,1.2201937177511144,47.343124048602704
0.6,-0.08,-0.1,0.05,9,0.09,0.2197239085591098,-0.2095822093267471,1.2196687344337152,47.33657545842063
0.5,-0.1,-0.1,0.09,6,0.095,0.2197046664866988,-0.2095822093267468,1.2147529081747952,47.32207530165927
0.5,-0.12,-0.1,0.03,6,0.09,0.2196807748954301,-0.2095822093267469,1.220282884680591,47.30407729206016
0.5,-0.08,-0.1,0.03,7,0.09,0.2196707921478511,-0.2095822093267471,1.2203340181279287,47.29655901367148
0.55,-0.1,-0.1,0.05,9,0.09,0.2196548668799787,-0.2095822093267471,1.2198108751683143,47.28456760799403
0.55,-0.12,-0.08,0.09,7,0.1,0.2196161668977265,-0.2095822093267468,1.2143401907191522,47.25543931888851
0.6,-0.12,-0.1,0.05,8,0.09,0.2196050415753809,-0.2095822093267471,1.219067008814755,47.247068780308055
0.6,-0.08,-0.1,0.03,9,0.09,0.2195905656475236,-0.2095822093267471,1.2191362884467225,47.236179397955496
0.5,-0.08,-0.1,0.05,9,0.09,0.2195843384430151,-0.2095822093267471,1.2199053938506357,47.23149577348968
0.6,-0.08,-0.06,0.05,6,0.09,0.2195350607665556,-0.2095822093267469,1.2187865020367978,47.194448425177626
0.55,-0.1,-0.1,0.05,8,0.09,0.2195211633123905,-0.2095822093267471,1.2191340383308895,47.1840051926686
0.6,-0.08,-0.08,0.05,7,0.09,0.219509381412791,-0.2095822093267471,1.2187444249756296,47.1751534090345
0.55,-0.1,-0.1,0.03,9,0.09,0.2195048022996961,-0.2095822093267471,1.219209682559461,47.1717135299288
0.6,-0.12,-0.1,0.03,8,0.09,0.2194717116585962,-0.2095822093267471,1.218534531065352,47.14686255440064
0.5,-0.08,-0.1,0.05,8,0.09,0.2194358033071701,-0.2095822093267471,1.219153504213132,47.1199095357164
0.55,-0.1,-0.06,0.05,6,0.09,0.2194313929394884,-0.2095822093267469,1.2187663457862437,47.11660009588346
0.5,-0.12,-0.1,0.03,9,0.09,0.2194175404524525,-0.2095822093267471,1.2192349796244633,47.1062069375896
0.55,-0.08,-0.08,0.05,7,0.09,0.2194135642092762,-0.2095822093267471,1.2187707958680634,47.10322406814632
