param,best_value,best_cagr,best_mdd,best_sharpe,best_multiple
div,0.4,0.2128038307025934,-0.2166489482422046,1.2126424999439829,42.38483831699941
recent,-0.14,0.2130897942386789,-0.213054199320388,1.1955333255450062,42.579339685829545
recovery,6.0,0.2162183085010964,-0.2196021741372115,1.217488376024036,44.76327664134094
spyfloor,0.07,0.2143486792152991,-0.2095822093267472,1.1942548926923753,43.44569629204718
vreb,0.09,0.2179116255131967,-0.2260646546106447,1.222223181839788,45.989234290092654
wc,-0.15,0.2130897942386789,-0.213054199320388,1.1955333255450062,42.579339685829545
