date,shadow_equity,open_equity,wc_dd,damaged,green,recent_r20,recent_r40,spy_r20,native_close_target,effective_native,control_allocation,A_allocation,B_allocation,control_nav,A_nav,B_nav,spy_nav,control_reason,A_reason,B_reason,fast_signal,slow_signal,eligible_count,leadership_population,held_count,research_eligible_universe,research_ranking_count,research_ranking_sha256,research_selected_positions_sha256,research_selected_positions,research_ldrc_state
2006-07-31,95226702.39738159,94803556.08894959,-0.04773297602618409,0.6666666666666666,0.2,-0.06323123832623068,-0.06323123832623068,0.004484508577333068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NORMAL,NORMAL,NORMAL,False,False,1065,107,15,1065,107,dcefdbbb0eddeabfcb71d4d6a1a2e55f5f0261b47b8d5cb45c1698f2c0beb102,eda029bea8599dd118007cfaedbcc44a50170466abe7e51f9a6e4528d12ba0fa,"[""1040633074096912075"",""1099247927332588244"",""1101212501432953147"",""117908596615035418"",""134352070820280377"",""214820292338870148"",""271029648870576069"",""320397541735962213"",""40196728613332525"",""452140482835311476"",""530996274575880476"",""720308907044255892"",""8209006061861920"",""927939971812641882"",""950063614365024268""]","{""concordance_releases"":0,""episode"":false,""episodes"":0,""full_streak"":0,""latched"":false,""prev_desired"":1.0,""prev_native"":1.0,""recent_positive_streak"":0}"
2006-08-01,94274787.6373816,94855720.65298161,-0.05725212362618404,0.8666666666666667,0.13333333333333333,-0.06789992417347568,-0.06789992417347568,-0.00453409617711209,1.0,1.0,1.0,1.0,1.0,0.990003699214243,0.990003699214243,0.990003699214243,0.9950721099507212,NORMAL,NORMAL,NORMAL,False,False,1082,109,15,1082,109,8bdd90ad8bd0c9766ec3e1b64bfcbef56e9e3c43a463d3035aaf00e48731395f,eda029bea8599dd118007cfaedbcc44a50170466abe7e51f9a6e4528d12ba0fa,"[""1040633074096912075"",""1099247927332588244"",""1101212501432953147"",""117908596615035418"",""134352070820280377"",""214820292338870148"",""271029648870576069"",""320397541735962213"",""40196728613332525"",""452140482835311476"",""530996274575880476"",""720308907044255892"",""8209006061861920"",""927939971812641882"",""950063614365024268""]","{""concordance_releases"":0,""episode"":false,""episodes"":0,""full_streak"":0,""latched"":false,""prev_desired"":1.0,""prev_native"":1.0,""recent_positive_streak"":0}"
2006-08-02,94995230.6873816,94819295.6719416,-0.05004769312618407,0.8666666666666667,0.06666666666666667,-0.06272472666805373,-0.06272472666805373,0.007948962882096344,1.0,1.0,1.0,1.0,1.0,0.9975692562677004,0.9975692562677004,0.9975692562677004,1.001797097517971,NORMAL,NORMAL,NORMAL,False,False,1086,109,15,1086,109,bebbc2b3b16ad2ccf7ce79c7a001252dca2b312ff3e148ab8ee16eb721cdb27c,eda029bea8599dd118007cfaedbcc44a50170466abe7e51f9a6e4528d12ba0fa,"[""1040633074096912075"",""1099247927332588244"",""1101212501432953147"",""117908596615035418"",""134352070820280377"",""214820292338870148"",""271029648870576069"",""320397541735962213"",""40196728613332525"",""452140482835311476"",""530996274575880476"",""720308907044255892"",""8209006061861920"",""927939971812641882"",""950063614365024268""]","{""concordance_releases"":0,""episode"":false,""episodes"":0,""full_streak"":0,""latched"":false,""prev_desired"":1.0,""prev_native"":1.0,""recent_positive_streak"":0}"
