variant,damaged_delta5_threshold,defensive_sessions,fast_signal_sessions,allocation_transitions,5y_start,5y_end,5y_cagr,5y_sharpe,5y_mdd,5y_multiple,10y_start,10y_end,10y_cagr,10y_sharpe,10y_mdd,10y_multiple,15y_start,15y_end,15y_cagr,15y_sharpe,15y_mdd,15y_multiple,20y_start,20y_end,20y_cagr,20y_sharpe,20y_mdd,20y_multiple
current_sharadar,0.3,935,21,29,2021-08-02,2026-07-31,0.25110873963544544,1.1731246174475447,-0.2262455225987443,3.061159176374207,2016-08-01,2026-07-31,0.21631750431083607,1.0991692626745508,-0.2520906507356685,7.081703768376805,2011-08-01,2026-07-31,0.1694077995671488,0.9782604516403381,-0.2520906507356685,10.456134541923902,2006-07-31,2026-07-31,0.18431723949742174,1.0420906219884454,-0.2520906507356685,29.470750442307697
sec_ff12,0.3,934,19,29,2021-08-02,2026-07-31,0.251108739635445,1.1731246174475447,-0.22624552259874564,3.0611591763742014,2016-08-01,2026-07-31,0.21729911402922175,1.1025791764246469,-0.25209065073566994,7.139041066930747,2011-08-01,2026-07-31,0.17003671065822412,0.9807926971061539,-0.25209065073566994,10.540793054558621,2006-07-31,2026-07-31,0.18479483906439498,1.0439462191007172,-0.25209065073566994,29.709361555111503
sector_neutral,0.3,887,18,29,2021-08-02,2026-07-31,0.25110873963544567,1.1731246174475454,-0.22624552259874464,3.0611591763742094,2016-08-01,2026-07-31,0.1982686349917422,1.0135478506755267,-0.28640928067675586,6.098674242182984,2011-08-01,2026-07-31,0.15781363909527202,0.9147671511411436,-0.28640928067675586,9.004691595317526,2006-07-31,2026-07-31,0.1755009969207657,0.9944189256240512,-0.28640928067675586,25.37983972485496
corr6_daily,0.3,935,21,29,2021-08-02,2026-07-31,0.25110873963544544,1.1731246174475447,-0.2262455225987443,3.061159176374207,2016-08-01,2026-07-31,0.21631750431083607,1.0991692626745508,-0.2520906507356685,7.081703768376805,2011-08-01,2026-07-31,0.1694077995671488,0.9782604516403381,-0.2520906507356685,10.456134541923902,2006-07-31,2026-07-31,0.18431723949742174,1.0420906219884454,-0.2520906507356685,29.470750442307697
corr8_daily,0.3,935,19,29,2021-08-02,2026-07-31,0.25110873963544544,1.1731246174475447,-0.2262455225987443,3.061159176374207,2016-08-01,2026-07-31,0.21631750431083607,1.0991692626745508,-0.2520906507356685,7.081703768376805,2011-08-01,2026-07-31,0.1694077995671488,0.9782604516403381,-0.2520906507356685,10.456134541923902,2006-07-31,2026-07-31,0.18431723949742174,1.0420906219884454,-0.2520906507356685,29.470750442307697
corr10_daily,0.3,934,20,29,2021-08-02,2026-07-31,0.251108739635445,1.1731246174475447,-0.22624552259874564,3.0611591763742014,2016-08-01,2026-07-31,0.21729911402922175,1.1025791764246469,-0.25209065073566994,7.139041066930747,2011-08-01,2026-07-31,0.17003671065822412,0.9807926971061539,-0.25209065073566994,10.540793054558621,2006-07-31,2026-07-31,0.18479483906439498,1.0439462191007172,-0.25209065073566994,29.709361555111503
corr8_monthly,0.3,935,21,29,2021-08-02,2026-07-31,0.25110873963544544,1.1731246174475447,-0.2262455225987443,3.061159176374207,2016-08-01,2026-07-31,0.21631750431083607,1.0991692626745508,-0.2520906507356685,7.081703768376805,2011-08-01,2026-07-31,0.1694077995671488,0.9782604516403381,-0.2520906507356685,10.456134541923902,2006-07-31,2026-07-31,0.18431723949742174,1.0420906219884454,-0.2520906507356685,29.470750442307697
nearest3_daily,0.3,1051,25,30,2021-08-02,2026-07-31,0.25179225423506346,1.219612954761047,-0.22413216371038747,3.06952013342584,2016-08-01,2026-07-31,0.2208564297491391,1.1437795699799111,-0.2500478827554934,7.350346703421459,2011-08-01,2026-07-31,0.1723144445435183,1.0108986225207595,-0.2500478827554934,10.852785794848035,2006-07-31,2026-07-31,0.18652402941786317,1.0670519123021935,-0.2500478827554934,30.588717128819457
sic_sharadar_like,0.3,935,19,29,2021-08-02,2026-07-31,0.25110873963544544,1.1731246174475447,-0.2262455225987443,3.061159176374207,2016-08-01,2026-07-31,0.21631750431083607,1.0991692626745508,-0.2520906507356685,7.081703768376805,2011-08-01,2026-07-31,0.1694077995671488,0.9782604516403381,-0.2520906507356685,10.456134541923902,2006-07-31,2026-07-31,0.18431723949742174,1.0420906219884454,-0.2520906507356685,29.470750442307697
current_sharadar,0.4,789,14,25,2021-08-02,2026-07-31,0.2652378055234823,1.2138659142677908,-0.2262455225987463,3.2377393321138364,2016-08-01,2026-07-31,0.22316065904906002,1.1210262213349058,-0.25209065073567016,7.490205346462987,2011-08-01,2026-07-31,0.1898306408032009,1.060943061519056,-0.25209065073567016,13.556434462906344,2006-07-31,2026-07-31,0.19979390436996347,1.1030691190380184,-0.25209065073567016,38.20898586776429
sec_ff12,0.4,870,12,27,2021-08-02,2026-07-31,0.26523780552348275,1.2138659142677903,-0.22624552259874486,3.2377393321138395,2016-08-01,2026-07-31,0.20726776471157082,1.0454428262766318,-0.2729325918074291,6.572292577416056,2011-08-01,2026-07-31,0.16360169021665105,0.9384355240799788,-0.2729325918074291,9.703988995589059,2006-07-31,2026-07-31,0.17990499872304389,1.0117587944588264,-0.2729325918074291,27.350818491982125
sector_neutral,0.4,741,13,25,2021-08-02,2026-07-31,0.26523780552348364,1.213865914267793,-0.2262455225987443,3.237739332113853,2016-08-01,2026-07-31,0.20501024452884709,1.035855339968632,-0.2864092806767572,6.450470664858886,2011-08-01,2026-07-31,0.17803399690452482,0.9979447361424327,-0.2864092806767572,11.674630905059596,2006-07-31,2026-07-31,0.1908624510818162,1.055683085702741,-0.2864092806767572,32.905098201400726
corr6_daily,0.4,767,12,27,2021-08-02,2026-07-31,0.251108739635445,1.1731246174475458,-0.22624552259874464,3.0611591763742014,2016-08-01,2026-07-31,0.20449221354616753,1.0407180346411127,-0.25502797764336427,6.422804606954628,2011-08-01,2026-07-31,0.17769644251196515,1.0019140941311935,-0.25502797764336427,11.624558432613542,2006-07-31,2026-07-31,0.1906065542478923,1.058922689243526,-0.25502797764336427,32.76396829019212
