decision_date,ticker,outcome,planned_shares,close_price,close_nav,cash_before_decision,required_reserve,uncommitted_cash_after_reserve,intended_capital,funding_fraction,q0_reason,buffer_basis_points
2006-07-05,MED,PLAN,205,19.49,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,ACLI,PLAN,66,59.89,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,FALB,PLAN,75,53.26,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,TTI,PLAN,131,30.37,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,CHAP1,PLAN,56,71.0,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,LFCHY,PLAN,64,61.65,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,ADM,PLAN,94,42.21,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,LVS,PLAN,53,75.06999999999998,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,MNST,PLAN,19,205.35,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,BFH,PLAN,67,58.81,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,AVL1,PLAN,84,47.38,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,LECO,PLAN,65,60.63,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,DAKT,PLAN,137,29.03,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,MTW,PLAN,89,44.87,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,VOLT2,PLAN,83,47.67,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,EXPD,PLAN,74,53.73,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,KEX,PLAN,101,39.46,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,OII,PLAN,86,46.05,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,FTI1,PLAN,57,69.18,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,WEBX1,PLAN,111,35.75,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,JLL,PLAN,46,86.25,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,AGP,PLAN,130,30.67,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,ATI,PLAN,58,68.61,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,TEX,PLAN,40,98.96,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,WCC,PLAN,60,66.6,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-09-07,CMCSK,PLAN,101,34.86,88313.27174698001,10600.901746980015,88.31327174698,10512.588475233035,3532.5308698792005,1.0,,10
2006-09-11,HCR1,PLAN,65,52.21,86078.59694808102,7072.476948081014,86.07859694808101,6986.3983511329325,3443.143877923241,1.0,,10
2006-09-15,CXW,PLAN,80,43.47,87240.796359581,6458.086359581013,87.240796359581,6370.845563221433,3489.63185438324,1.0,,10
2006-10-03,CMCSA,PLAN,94,37.07,87203.226659581,9694.126659581016,87.203226659581,9606.923432921434,3488.1290663832406,1.0,,10
2006-10-16,EPC,PLAN,49,76.62,94707.37963026502,6226.949630265017,94.70737963026502,6132.242250634752,3788.2951852106007,1.0,,10
2006-10-17,UST1,PLAN,42,55.79,94057.78603026501,2479.6060302650167,94.057786030265,2385.5482442347516,3762.3114412106006,0.6340645322725204,,10
2006-11-01,ACAS,PLAN,1,42.74,93491.38285026503,145.28285026501698,93.49138285026503,51.79146741475195,3739.655314010601,0.013849262315891911,,10
2006-12-15,MA,PLAN,41,96.19,100331.32508026501,4306.305080265016,100.33132508026502,4205.973755184751,4013.2530032106006,1.0,,10
2007-01-29,TSG1,PLAN,129,32.3,104534.75270026502,21142.227980265012,104.53475270026502,21037.69322756475,4181.390108010601,1.0,,10
2007-01-30,CF,PLAN,136,30.77,104983.83851426501,16967.487410265014,104.98383851426502,16862.50357175075,4199.353540570601,1.0,,10
2007-01-31,MTCH,PLAN,109,38.4,104867.018914265,12788.421330265013,104.867018914265,12683.554311350748,4194.6807565706,1.0,,10
2007-02-01,HAS,PLAN,146,28.68,105458.83626626503,8603.000090265014,105.45883626626504,8497.541253998748,4218.353450650601,1.0,,10
2007-02-02,TRA,PLAN,287,14.67,105424.95263426499,4405.686970265014,105.424952634265,4300.262017630749,4216.9981053706,1.0,,10
2007-02-05,UIS,PLAN,11,8.849999999999998,105104.125040265,202.6781602650135,105.104125040265,97.5740352247485,4204.1650016106005,0.023208897649680316,,10
2007-03-29,MIR2,PLAN,102,40.94,105450.117871001,6841.357871001014,105.450117871001,6735.907753130014,4218.00471484004,1.0,,10
2007-05-14,GEN1,PLAN,179,25.46,114596.61695100101,10464.151951001015,114.59661695100101,10349.555334050014,4583.86467804004,1.0,,10
2007-06-05,TRW,PLAN,119,40.04,119243.16944100101,10082.899441001015,119.24316944100102,9963.656271560014,4769.72677764004,1.0,,10
2007-06-21,NRG,PLAN,111,43.51,121230.556681001,8833.986681001017,121.230556681001,8712.756124320016,4849.22226724004,1.0,,10
